WikidataID,itemLabel,en_description
Q327022,Rockville,"city in Montgomery County, Maryland, United States"
Q15724248,Lancet Infectious Diseases,journal
Q3437091,Robin Kelly,American politician
Q461679,Yvette Clarke,U.S. Representative from New York
Q561284,Cedric Richmond,American politician
Q4960712,Brenda Lawrence,American politician
Q13562359,Ayanna Pressley,U.S. Representative from Massachusetts
Q319099,Michael Dukakis,American politician
Q23505,George H. W. Bush,41st president of the United States (1924-2018)
Q32620,Tulsi Gabbard,American politician
Q27133033,Coalition for Epidemic Preparedness Innovations,Public-private organization for vaccine development
Q688592,GAVI,organization
Q5034686,Cape Cod Hospital,"hospital in Massachusetts, United States"
Q557730,Sean Hannity,American television personality and conservative political commentator
Q10853588,Kamala Harris,49th and current Vice President of the United States
Q689141,Spotify,Swedish music streaming service
Q70058728,Apple Podcasts,mobile application developed by Apple
Q3101621,George Haddow,Canadian politician (1833-1919)
Q31112,Bill Frist,"physician, businessman, and politician"
Q443640,Tom Daschle,American politician in South Dakota (born 1947)
Q4744423,American Medical Student Association,organization
Q434804,Dick Durbin,United States Senator from Illinois
Q63879,Chris Christie,"55th Governor of New Jersey, former U.S. Attorney for the District of New Jersey"
Q17182897,Carrie Hessler-Radelet,Peace Corps director
Q292569,Donna Shalala,18th United States Secretary of Health and Human Services
Q1340268,John Garamendi,U.S. Representative from California
Q18684027,Amata Coleman Radewagen,American Samoan politician
Q868421,"University of California, Irvine","public research university in Irvine, California, United States"
Q1251128,Journal of Virology,journal
Q235034,University of Pittsburgh,"state-related research university located in Pittsburgh, Pennsylvania, United States"
Q466809,American Society for Microbiology,American scholarly society focused on microbiology
Q170581,Nancy Pelosi,Speaker of the United States House of Representatives
Q23950132,Christl Ann Donnelly,Professor of Statistical Epidemiology at Imperial College London
Q189022,Imperial College London,"public research university located in London, United Kingdom"
Q16215114,Hari Sreenivasan,American television journalist
Q25245121,Bloomberg Radio,business news radio network
Q1172506,European General Data Protection Regulation,European Union regulation on the processing of personal data
Q237560,Barbara Boxer,American politician in California (born 1940)
Q461391,Gavin Newsom,American politician and current governor of California
Q795454,Barnes & Noble,American book retailer
Q49117,University of Pennsylvania,"private research university in Philadelphia, Pennsylvania"
Q1512226,Howard Hughes Medical Institute,foundation
Q66732898,Peter Daszak,"zoologist, disease ecologist"
Q906562,Stuart Schreiber,American chemist
Q61328644,Gavin Yamey,researcher ORCID ID = 0000-0002-8390-7382
Q131252,University of Chicago,"private research university in Chicago, Illinois, United States"
Q5611155,Kaiser Permanente Washington Health Research Institute,"health organization in Seattle, Washington, USA"
Q19867208,Matthias Gromeier,
Q429863,Florida Atlantic University,"university in Boca Raton, Florida"
Q632891,McMaster University,"public research university in Hamilton, Ontario, Canada"
Q49210,New York University,private research university in New York City
Q7895888,University of Nebraska Medical Center,"Medical center in Omaha, Nebraska, United States"
Q49212,Texas A&M University,"public research university in College Station, Texas, United States"
Q487556,University of Sydney,Australian university founded in 1850
Q23662491,Ivan Oransky,health reporter; executive editor of Reuters Health
Q43176170,Shi Zhengli,Chinese virologist
Q235650,Maria João Pires,Portuguese pianist
Q84263196,COVID-19,"respiratory syndrome and infectious disease in humans, caused by SARS coronavirus 2"
