WikidataID,itemLabel,en_description
Q492819,Broomfield,"consolidated city-county in Colorado, United States"
Q490595,Daytona Beach,"city in Florida, United States"
Q1708812,Daytona Beach International Airport,"airport in Florida, United States of America"
Q1003256,Greenwood Village,city in Colorado
Q558922,Illinois State University,"public university in Normal, Illinois"
Q16565,"Charlotte, NC","city in and county seat of Mecklenburg County, North Carolina, United States"
Q5486310,The Charlotte Observer,"newspaper serving Charlotte, North Carolina and its metro area"
Q43919,"Salem, OR","city and capital of Oregon, USA"
Q8040326,Wyoming Department of Health,government agency in Wyoming
Q953944,U.S. Securities and Exchange Commission,government agency overseeing stock exchanges
Q4709356,Albany Museum of Art,"museum in Albany, Georgia"
Q17380342,Utah Department of Health,government agency in Utah
Q503577,United States Department of Commerce,U.S. federal executive department overseeing commerce
Q5020308,California Chamber of Commerce,chamber of commerce
Q5020331,California Coastal Commission,A state agency in the state of California with quasi-judicial regulatory oversight over the California coastal zone
Q2629503,Supreme Court of California,the highest court of the U.S. state of California
Q5471712,Fort Morgan Times,"daily newspaper in Fort Morgan, Colorado"
Q6978208,National Rural Health Association,organization
Q7010176,New Mexico Department of Health,Agency charged with handling all medical and health related fields within the state of New Mexico
Q1353248,New Mexico State University,university in the United States
Q30623711,Dougherty County Public Library System,"public library system in Georgia, USA"
Q935734,Jared Polis,"American entrepreneur, philanthropist, Governor of Colorado and former US Representative"
Q58696,Mohave County,"county in Arizona, United States"
Q21572825,Andy Beshear,63rd governor of Kentucky
Q11673,Andrew Cuomo,56th Governor of New York
Q1363468,Mike DeWine,American politician in Ohio (born 1947)
Q58684,Coconino County,"county in Arizona, United States"
Q58694,Navajo County,"county in Arizona, United States"
Q26587,Galveston County,"county in Texas, United States"
Q79435,Lake Havasu City,"city in Mohave County, Arizona, United States"
Q17084964,Temporary Assistance for Needy Families,U.S. federal aid program
Q1141363,Medicaid,United States social health care program for families and individuals with limited resources
Q6466630,LabCorp,clinical laboratory company
Q189471,Cupertino,"city in Santa Clara County, California, United States"
Q6412818,Kingman High School,"high school in Arizona, United States"
Q483551,Walmart,U.S. discount retailer based in Arkansas
Q17013635,Association of State and Territorial Health Officials,US organizations
Q17231052,N95 respirator,particulate respirator that meets the N95 standard of the United States National Institute for Occupational Safety and Health (NIOSH)
Q715583,Costco,American multinational chain of membership-only stores
Q1783171,Navajo Nation,federally recognized Indian tribe of the United States
Q17091238,National Conference of State Legislatures,US organization
Q30291107,National Association of Local Boards of Health,"other organization in Bowling Green, United States"
Q3673184,Equal Employment Opportunity Commission,American government agency
Q5433309,Family and Medical Leave Act of 1993,act
Q58712,Pinal County,"county in Arizona, United States"
Q82059,NASDAQ,American stock exchange
Q58686,Gila County,"county in Arizona, United States"
Q58774,Cochise County,"county in Arizona, United States"
Q108067,Sonoma County,"county in California, United States"
Q494624,Broward County,"county in Florida, United States"
Q463305,American Academy of Pediatrics,professional association
Q30280904,National Academy for State Health Policy,"nonprofit organization in Portland, United States"
Q1721589,Kaiser Family Foundation,American non-profit organization
Q2304163,Transportation Security Administration,United States federal government agency
Q6974065,National League of Cities,advocacy organization in United States
Q4352382,National Academy of Medicine,medical branch of the United States National Academies
Q4709390,Albany State University,"public university located in Albany, Georgia, United States"
Q2097315,United States Citizenship and Immigration Services,immigration benefits agency of the United States government
Q219563,University of Washington,"public research university in Seattle, Washington, United States"
Q108101,San Mateo County,"county in California, United States"
Q450374,Multnomah County,"county in Oregon, United States"
Q108143,San Diego County,"county in California, United States"
Q270222,Michigan State University,"public research university in East Lansing, Michigan, United States"
Q108047,Kern County,"county in California, United States"
Q493751,KPMG,professional services company
Q5547471,Georgia Emergency Management and Homeland Security Agency,"state-level emergency management government agency in Georgia, USA"
Q16932877,Stafford Disaster Relief and Emergency Assistance Act,United States federal law designed to bring an orderly and systemic means of federal natural disaster assistance
Q583725,Centers for Disease Control and Prevention,national public health agency of the United States of America
Q94783,Weld County,"county in Colorado, United States"
Q113029,Boulder County,"county in Colorado, United States"
Q115551,Eagle County,"county in Colorado, United States"
Q15906757,Denver County,"county in Colorado, United States, coterminous with the City of Denver"
Q127970,Larimer County,"county in Colorado, United States"
Q5003490,BuzzFeed,Internet media company
Q3538166,United Food and Commercial Workers,A labor union organization
Q1721601,Kaiser Permanente,American integrated managed care company
Q375652,Wyandotte County,"county in Kansas, United States"
Q30253351,Kansas Department of Health and Environment,"government organization in Topeka, United States"
Q1003649,Alpharetta,"city in north Fulton County, Georgia, United States"
Q17091274,National Health Service Corps,organization
Q108083,Solano County,"county in California, United States of America"
Q5461331,Florida Division of Emergency Management,"state-level agency in Florida, United States"
Q108117,Marin County,"county in California, United States"
Q108131,Sacramento County,"county in California, United States"
Q5176508,Council of State and Territorial Epidemiologists,Medical organization
Q58711,Yavapai County,"county in Arizona, United States"
Q58771,Apache County,"county in Arizona, United States"
Q943091,U.S. Immigration and Customs Enforcement,American federal law enforcement agency
Q564223,Covington & Burling,U.S. law firm based in Washington D.C.
Q107146,Alameda County,"county in California, United States"
Q502200,Dane County,"county in Wisconsin, United States"
Q8027252,PBS Wisconsin,"PBS member network serving Wisconsin, United States"
Q724759,NBCUniversal,American media and entertainment company
Q109656,San Benito County,"county in California, United States"
Q5374148,Empire State Plaza,"building complex in Albany, New York, United States"
Q2272340,"Yuma, Colorado",city in Colorado
Q337402,Acadia Parish,"parish in Louisiana, United States"
Q498276,Jefferson Parish,"parish in Louisiana, United States"
Q506892,Lafayette Parish,"parish in Louisiana, United States"
Q120080,Lincoln Parish,"parish in Louisiana, United States"
Q486231,Orleans Parish,"New Orleans consolidated city-parish in Louisiana, United States"
Q507078,Ouachita Parish,"parish in Louisiana, United States"
Q507099,St. Landry Parish,"parish in Louisiana, United States"
Q512868,St. Martin Parish,"parish in Louisiana, United States"
Q506921,St. Tammany Parish,"parish in Louisiana, United States of America"
Q507028,Richland Parish,"parish in Louisiana, United States"
Q504345,Calcasieu Parish,"parish in Louisiana, United States"
Q512832,Union Parish,"parish in Louisiana, United States"
Q6970693,National Association of Latino Elected and Appointed Officials,organization
Q108072,Monterey County,"county in California, United States"
Q586528,Paso Robles,"city in San Luis Obispo County, California, United States"
Q49014,San Luis Obispo County,"county in California, United States"
Q109690,Merced County,"county in California, United States"
Q156350,Shasta County,"county in California, United States"
Q108137,Napa County,"county in California, United States"
Q109686,Tulare County,"county in California, United States"
Q108503,Stanislaus County,"county in California, United States"
Q109709,Yolo County,"county in California, United States"
Q169952,Imperial County,"county in California, United States"
Q271915,Fresno County,"county in California, United States"
Q108111,Riverside County,"county in California, United States"
Q156346,Tuolumne County,"county in California, United States"
Q108106,Santa Barbara County,"county in southern California, United States"
Q6312521,Juneteenth,"holiday commemorating the abolition of slavery in Texas on June 19, 1865"
Q852704,Lompoc,"city in southern California, U.S."
Q5020438,California Department of Social Services,government agency in California
Q27018,Hays County,"county in Texas, United States"
Q982353,San Marcos,"city in Texas, United States"
Q16861,Bexar County,"county in Texas, United States"
Q1495387,Texas State University,"Public research university in San Marcos, Texas, United States"
Q109810,Ector County,"county in Texas, United States"
Q489481,Tulsa County,"county in Oklahoma, United States"
Q2877349,BOK Center,Multi-purpose arena in Tulsa Oklahoma
Q1087457,Mullica Hill,"census designated place in Gloucester County, New Jersey, United States"
Q30297314,Washington State Department of Commerce,"government organization in Olympia, United States"
Q483958,Okanogan County,"county in the state of Washington, United States"
Q485305,Walla Walla County,"county in the state of Washington, United States"
Q50039308,Madison County Health Department,"healthcare organization in Richmond, United States"
Q108053,San Bernardino County,"county in California, United States"
Q484404,Clackamas County,"county in Oregon, United States"
Q495344,Umatilla County,"county in Oregon, United States"
Q495414,Malheur County,"county in Oregon, United States"
Q156353,Placer County,"county in California, United States"
Q964198,San Joaquin Valley,Southern part of the Central Valley in California
Q156342,Plumas County,"county in the Sierra Nevada, California, United States"
Q107519469,Clark County Public Health,"government organization in Vancouver, United States"
Q156623,Whatcom County,"county in the state of Washington, United States"
Q493236,Chelan County,"county in the state of Washington, United States"
Q5300433,Doug Ducey,American businessman and politician
Q6279,Joe Biden,46th and current president of the United States
Q82607085,Pete Gaynor,American emergency manager
Q4716651,Alex Azar,American politician
Q16730906,John Kivela,American politician
Q95677819,George Floyd,"African American man who was a victim of police violence in the United States, killed by Derek Chauvin"
Q96075512,Breonna Taylor,a human being who became a victim of police shooting in the United States
Q1556541,Kyrsten Sinema,United States Senator from Arizona
Q461391,Gavin Newsom,American politician and current governor of California
Q555,Rachel Maddow,American television news host and political commentator
Q525362,Sonny Perdue,31st and current United States Secretary of Agriculture and 81st Governor of Georgia
Q24248265,Steven Mnuchin,77th and current United States Secretary of the Treasury
Q463557,Rand Paul,United States Senator from Kentucky
Q1100710,Jay Inslee,"23rd Governor of Washington, United States"
Q355522,Mitch McConnell,"United States Senator from Kentucky, Senate Minority Leader"
Q27927683,Seema Verma,American health policy consultant and the current administrator of the Centers for Medicare and Medicaid Services
Q55314981,Brad Raffensperger,American politician (1955-)
Q88668241,Bo Dorough,American lawyer and politician
Q3105215,Ron DeSantis,American politician; 46th governor of Florida
Q6375399,Kate Brown,American politician
Q6296812,Jovita Carranza,American businesswoman
Q24015,Steve Bullock,"American politician, lawyer, and the 24th Governor of Montana"
Q260042,Phil Murphy,"American businessman and diplomat, 56th Governor of New Jersey"
Q28062402,Tom Bossert,American presidential advisor
Q19957924,Carolyn Goodman,American politician
Q62050652,Kate Gallego,American politician
Q102428688,Barbara Kirkmeyer,American politician
Q16208414,Lori Jane Gliha,American television journalist
Q434902,Ed Rendell,American lawyer and politician
Q6104574,J. Alex Villalobos,American politician
Q61878802,Hilary S. Franz,American politician
Q1368405,Jeff Merkley,United States Senator from Oregon
Q6490529,Larry Householder,American politician
Q16728263,Marshall Criser III,American academic administrator
Q100556926,Raph Graybill,American lawyer and politician
Q104376647,SARS-CoV-2 Alpha variant,Variant of SARS-CoV-2
Q30287959,Kent County Health Department,"government organization in Grand Rapids, United States"
Q20746691,Bellamy Creek Correctional Facility,"Michigan prison, located in Ionia"
Q30271676,Columbia Legal Services,"other organization in Seattle, United States"
Q913543,Watsonville,city in California
Q921264,University of Texas Medical Branch,"hospital in Texas, United States"
Q430267,Bellingham,"city in, and the county seat of, Whatcom County in the State of Washington, United States"
Q55668539,Portland Business Journal,newspaper published in Portland
Q3056724,Syosset,"census designated place in Nassau County, New York State"
Q48771349,Washington State Library,"state library of Washington, U.S."
Q156629,Yakima County,"county in the state of Washington, United States"
Q2746251,Pinetop-Lakeside,small town in Navajo County
Q113275,Carver County,"county in Minnesota, United States"
Q1320340,Los Angeles Unified School District,California school district serving almost all of Los Angeles and surrounding areas
Q30636266,USAFacts,nonprofit organization
Q30253638,San Francisco Department of Public Health,"healthcare organization in San Francisco, United States"
Q5020892,California Public Utilities Commission,state government agency of California
Q30283478,Monterey County Health Department,"government organization in Salinas, United States"
Q108087,Mendocino County,"county in northwestern California, United States"
Q5021115,California Strawberry Commission,California government agency
Q506907,Washington Parish,"parish in Louisiana, United States"
Q484420,Deschutes County,"county in Oregon, United States"
Q1743511,Kirkland & Ellis,"large law firm in the United States, based in Chicago, Illinois"
Q8652,Miami,"city in Miami-Dade County, Florida, United States"
Q30268687,National Association of Community Health Centers,"other organization in Bethesda, United States"
Q135744,Galveston,"city in and county seat of Galveston County, Texas, United States; port and coastal city"
Q464880,American Heart Association,"US nonprofit funding cardiovascular medical research, educating consumers on healthy living, and fostering cardiac care"
Q108058,Contra Costa County,"county in California, United States"
Q5788429,New Jersey Department of Health,Government agency
Q6970769,National Association of State Budget Officers,"other organization in Washington D.C., United States"
Q4915100,Biomedical Advanced Research and Development Authority,"government organization in Washington D.C., United States"
Q11209,United States Department of Defense,United States federal executive department
Q217810,United States Department of Energy,Cabinet-level department of the United States government
Q4744017,American Hospital Association,organization
Q16203756,National Disaster Medical System,federally coordinated healthcare system
Q3694683,Supreme Court of Texas,the highest court in the U.S. state of Texas
Q30282504,Georgia Department of Community Health,"government organization in Atlanta, United States"
Q498377,Upson County,"county in Georgia, United States"
Q1509333,Georgia State University,"public research university in Atlanta, GA, USA"
Q5547449,Georgia Department of Economic Development,government agency in Georgia
Q6978094,National Restaurant Association,US trade organization
Q5150130,Columbus State University,"public institution of higher learning located in Columbus, Georgia, United States"
Q30253337,Minnesota Department of Health,"government organization in Saint Paul, United States"
Q5547686,Augusta University,"university in Augusta, Georgia"
Q6773540,Marshall Criser,"American university president, lawyer"
Q6270269,Jon A. Husted,American politician
Q786713,Federal Trade Commission,United States federal government agency
Q860051,Election Assistance Commission,government agency
Q35525,White House,official residence and workplace of the President of the United States
Q655286,Bill & Melinda Gates Foundation,private foundation
Q164746,The Wall Street Journal,American daily newspaper
Q11701,United States House of Representatives,lower house of the United States Congress
Q60,New York City,largest city in the United States
Q6106,Portland,"city in and county seat of Multnomah County, Oregon, United States"
Q6837523,Michigan Department of Corrections,
Q5020423,California Department of General Services,
Q6394114,Kern County Board of Supervisors,
