WikidataID,itemLabel,en_description,sitelinks
Q1531587,Global Classroom,,3
Q1531631,Global Movement for Children,international organization,2
Q1531665,Global Reporting Initiative,organization,12
Q1548793,Intersputnik,,22
Q1559556,Pax Christi,international organization,17
Q1561995,Type Directors Club,organization,4
Q1563473,International Clarinet Association,clarinet performance organization,4
Q1564047,International Commission of Control,,7
Q1579424,Strategic Airlift Capability,multinational initiative that provides its participating nations assured access to military airlift capability,8
Q1586624,World Forum on Shooting Activities,sports club,2
Q1593425,Hedwig and Robert Samuel Foundation,foundation for Education,2
Q1601925,International Federation of Accountants,international organization,11
Q1618990,European Beer Consumers' Union,,6
Q1620324,Organization for Cooperation of Railways,,10
Q1636581,Humana People to People,,4
Q1639820,International Association of Geodesy,constituent association of the International Union of Geodesy and Geophysics,14
Q1643206,Pax Romana,international organization,7
Q1657077,Women's International Zionist Organization,organization,15
Q1665196,World Federation for Chess Composition,,12
Q1665759,Inter-American Defense Board,international committee,6
Q1666347,World Obesity Federation,"nonprofit organization in London, United Kingdom",1
Q1666362,International Association of Lighthouse Authorities,international association coordinating lighthouses and buoyage,15
Q1666462,International Conference for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use,,11
Q1666533,International Federation of Air Line Pilots' Associations,worldwide association of national pilots' associations,6
Q1666544,Graduate Women International,International Federation of University Women,8
Q1666741,International Maritime Rescue Federation,global organization that unites and represents the world's operational marine rescue services,3
Q1666759,International Mobile Satellite Organization,international organization,11
Q1666817,International Post Corporation,cooperative association of national postal services from major countries in Europe,2
Q1666896,International Society for Augmentative and Alternative Communication,learned society dedicated to augmentive and alternative communication,5
Q1666905,International Society for Knowledge Organization,international professional association for scholars of knowledge organization,6
Q1667016,International Union of Students,World non-partisan forum,16
Q1667048,Workers International Relief,International organization,7
Q1667326,International Cocoa Organization,international organization,6
Q1667488,Q1667488,,2
Q1667509,International Association of Sound and Audiovisual Archives,organization,4
Q1669747,Transatlantic Economic Council,agreement between the US and EU,5
Q1697014,Leo clubs,Service Club in the network of Lions Clubs International.,17
Q1700813,Partnership for Advanced Computing in Europe,,2
Q1709362,Committee Against Torture,UN body of human rights experts,8
Q1711776,World Fair Trade Organization,"global association of fair trade producer cooperatives, exporters, importers, retailers, national and regional fair trade networks and Fair Trade Support Organizations",6
Q1766099,International Institute of Agriculture,,8
Q1782351,International Commission on Mathematical Instruction,,8
Q1785413,United Nations Mission of Observers in Tajikistan,United Nations peacekeeping operation in Tajikistan from 1994 to 2000,13
Q1787062,Saami Council,non-governmental organization of Saami People,14
Q1815427,Q1815427,,1
Q1816966,Q1816966,,2
Q1848103,REDIAL,,11
Q1852233,"DutchCulture, centre for international cooperation",,1
Q1856835,Pan American Health Organization,international public health agency,11
Q1865122,Bahá'í International Community,international non-governmental organization representing the Bahá'í Faith,8
Q1902985,Permanent European Conference for the Study of the Rural Landscape,,2
Q1939300,Council for German Orthography,international normative body regulating German orthography,13
Q1971799,United Nations Angola Verification Mission III,a peacekeeping mission,12
Q1981026,Brandweerinformatiecentrum voor gevaarlijke stoffen,,2
Q1984016,Fourth International,,5
Q1993710,International Organization of Turkic Culture,"international cultural organization of countries with Turkic populations, speaking languages belonging to the Turkic language family",38
Q2001993,United Nations Preventive Deployment Force,,11
Q2004478,Global Crop Diversity Trust,international nonprofit foundation which works to preserve agricultural biodiversity,8
Q2020649,Nordic Investment Bank,"the joint international financial institution of Denmark, Finland, Iceland, Norway, and Sweden",19
Q2028860,Aquaculture Stewardship Council,Organisation promoting and certifying sustainable aquaculture,4
Q2029878,Organization for International Economic Relations,,2
Q2029901,OHADA,"system of corporate law and implementing institutions adopted by seventeen West and Central African nations in 1993 in Port Louis, Mauritius",8
Q2047926,Cooperative Cyber Defence Centre of Excellence,Military organization,10
Q2061273,World Association for Sexual Health,,4
Q2064062,United Nations Iraq–Kuwait Observation Mission,,15
Q2072349,CIPA,ICOMOS scientific committee for heritage documentation,4
Q2106133,Q2106133,,2
Q2149633,European Corporate Governance Network,,1
Q2199269,European Journalism Training Association,,3
Q2255072,Human Rights in China,international human rights organization,5
Q2283231,Light-Life,renewal movement within the Catholic Church,6
Q2294604,Q2294604,,3
Q2296759,Socialist International Women,International women's organization,6
Q2296909,Society of Environmental Toxicology and Chemistry,international nonprofit organization,3
Q2297150,World Monuments Fund,american NPO,16
Q2297691,Indian Ocean Rim Association,international organization consisting of coastal states bordering the Indian Ocean,12
Q2303368,World Federation of Right to Die Societies,Federation of voluntary euthanasia associations,7
Q2328638,European Go Federation,European organization for the board game of Go,9
Q2333216,Intergovernmental Organisation for International Carriage by Rail,,11
Q2345665,International Secretariat of the Masonic Adogmatic Powers,,4
Q2420112,Association of Summer Olympic International Federations,non-profit association affiliated with the International Olympic Committee,11
Q2434028,North Atlantic Cooperation Council,,5
Q2459324,European Coalition to End Animal Experiments,European animal rights organization,2
Q2467557,UNIGIS,,2
Q2473027,Q2473027,,2
Q2534166,World Nuclear Association,,15
Q2535728,European Federation for Immunogenetics,,3
Q2538115,Islamic Propagation Centre International,,1
Q2543683,Women's Flat Track Derby Association,,5
Q2549011,World Draughts Federation,international luge governing body,11
Q2561760,European Banking Federation,banking industry organization,10
Q2578510,Durrell Wildlife Conservation Trust,international conservation organization and charitable institution,8
Q2604066,Q2604066,,3
Q2608548,ActionAid,organization,13
Q2621088,World Congress of Philosophy,held every five years,11
Q2622118,New Acropolis,organization,13
Q2625543,ANZUK,"former tripartite force formed by Australia, New Zealand and the United Kingdom to defend the Asian Pacific region",8
Q2628395,Eurasian Economic Space,single market covering the Eurasian Economic Union,11
Q2629175,International Association for Analytical Psychology,,7
Q2638902,Q2638902,,1
Q2641584,Consumers International,A United Nations body for consumer protection,15
Q2647520,World Council for Renewable Energy,,2
Q2652007,Global Network of People living with HIV/AIDS,Organisation based in the Netherlands,2
Q2658661,International Association of Antarctic Tour Operators,,8
Q352378,Adaptation Fund,international fund that finances climate change projects for developing countries,6
Q356067,International Technical Committee for the Prevention and Extinction of Fire,international organization,6
Q356694,Comprehensive Nuclear-Test-Ban Treaty Organization,Monitors compliance with the Comprehensive Nuclear Test-Ban,11
Q357934,Far Eastern Commission,international organization,7
Q359094,Global Atmosphere Watch,,7
Q359507,Trade Union Advisory Committee to the OECD,trade union,4
Q369760,Nuclear Energy Agency,Intergovernmental agency,14
Q377226,Allied Kommandatura,international organization,8
Q380340,Organization of the Black Sea Economic Cooperation,international organization,45
Q383924,Africa Rice Center,organization,9
Q386559,IAPTI,international organization,4
Q386881,African Economic Community,international organization,18
Q388314,International Union of Railways,international rail transport industry body,35
Q389812,Aga Khan Development Network,"network of private, non-denominational development agencies founded by Aga Khan",8
Q392770,Organisation of Eastern Caribbean States,inter-governmental organization,23
Q429283,Mediterranean Science Commission,organization,6
Q450345,European Fireball Network,International organization aimed at photographic observation of meteors,7
Q453851,Women's International Democratic Federation,international organization,17
Q457528,Aspen Institute,international nonprofit organization founded in 1950,10
Q461736,Paris Club,international organization,40
Q462794,SOS Children's Villages,global federation focused on supporting children without parental care and families at risk,35
Q466807,Association for Information Science and Technology,"ASIS&T is an international organization for information professionals leading the search for new and better theories, techniques, and technologies to improve access to information.",4
Q474548,Eurasian Union,project of political union in post-soviet area,32
Q477328,Group of 77,Group of 77,40
Q485207,Shanghai Cooperation Organisation,International organization based in China,77
Q488981,European Bank for Reconstruction and Development,financial institution which support more than 30 countries,50
Q492442,United Nations University,academic and research arm of the United Nations,35
Q493210,European Directorate for the Quality of Medicines,international organization,8
Q496084,Neutral Nations Supervisory Commission,International body charged with overseeing the armistice between North and South Korea.,10
Q496967,Alliance of Small Island States,intergovernmental organization of low-lying coastal and small island countries,16
Q498496,International Centre for Migration Policy Development,organization,5
Q501576,Iran–United States Claims Tribunal,international arbitral tribunal between the US and Iran,6
Q511252,International Federation of BodyBuilding & Fitness,international professional sport's governing body for bodybuilding and fitness,24
Q511645,PostEurop,organization,9
Q521227,Organisation for Joint Armament Cooperation,international organization whose core-business is the through life management of cooperative defence equipment programmes,8
Q541113,International Association for Religious Freedom,international organization,5
Q574863,Anarchist St. Imier International,former international workers' organization,10
Q577526,D-8 Organization for Economic Cooperation,international organization,23
Q579663,International Union of Geological Sciences,international non-governmental organization,28
Q579926,European Liberal Youth,international organization,15
Q580089,International Federation of Philosophical Societies,international organization,6
Q580933,Northwest Atlantic Fisheries Organization,international fisheries management organization,8
Q584290,Institute of International Finance,international organization,10
Q592938,International Committee of the Blue Shield,international organization founded to protect the world's cultural heritage,9
Q593768,Association of Commonwealth Universities,organization,15
Q596850,Organization of Turkic States,regional organization of Turkic countries,47
Q599328,International Workers League – Fourth International,Morenist Trotskyist international organization,8
Q600508,International Political Science Association,organization,11
Q602399,Amazon Cooperation Treaty Organization,organization,15
Q607269,FIAPF,organization,26
Q607301,Latin American Integration Association,intergovernmental regional integration organization,24
Q619504,Profintern,international labor union confederation,18
Q624372,Fare network,network countering discrimination in European football,7
Q633609,Union of African States,international organization,17
Q642715,International Federation of Poker,,4
Q659012,United Nations Economic Commission for Europe,United Nations Commission for economic cooperation among its member states,29
Q663492,Eurocontrol,European Organisation for the Safety of Air Navigation,36
Q668205,World Association of Nuclear Operators,company,8
Q670356,Baltic Assembly,international organization,26
Q673158,Wassenaar Arrangement,1996 treaty and export agreement on dual-use goods and technologies,21
Q677691,ICLEI – Local Governments for Sustainability,international organization,11
Q683260,Christian Solidarity International,organization,4
Q684656,International Law Commission,,20
Q685547,European Patent Organisation,public international organisation,13
Q686577,International Radio and Television Organisation,international organization,22
Q688592,GAVI,organization,18
Q689768,Women's International League for Peace and Freedom,civil society organization,25
Q690318,International Union for the Protection of New Varieties of Plants,Intergovernmental organization,13
Q695186,United Nations Mission for the Referendum in Western Sahara,organization,20
Q695267,European Molecular Biology Laboratory,molecular biology research institution,19
Q698099,Allied Control Council,military occupation governing body of the Allied Occupation Zones in Germany,29
Q698232,United Nations Commission on International Trade Law,Trade Law body of the UN,24
Q698234,World League for Freedom and Democracy,international organization,16
Q699036,United Nations Truce Supervision Organization,organization established by the United Nations,19
Q699466,International Commission for the Protection of the Danube River,International Organization,9
Q701642,World Uyghur Congress,cultural and political organization,25
Q707083,Young Christian Workers,international Catholic organization of the Young Trade Unionists,16
Q718728,Sámi Parliamentary Council,"co-operational body for the Norwegian, Swedish, and Finnish Saami parliaments",4
Q730498,International Federation for Human Rights,organización,18
Q734704,International Federation of Vexillological Associations,international organization,22
Q735279,Committee on Data for Science and Technology,organization,32
Q740384,The International Committee for the Conservation of the Industrial Heritage,international society,9
Q745119,InterAction Council of Former Heads of State and Government,international organization,7
Q747279,Mayors for Peace,international peace organization,10
Q748907,Brazilian Cultural Center,organization,4
Q748999,World Federation of Trade Unions,international organization,24
Q757276,Pacific Islands Forum,intergovernmental organization,30
Q770608,Rec.Sport.Soccer Statistics Foundation,organization collecting association football data,27
Q778126,Intelsat,communications satellite services provider,27
Q782510,International Masonic Union Catena,masonic organization,3
Q782942,Australia Group,multilateral export control regime established in 1985 to help member countries identify exports needing control so as to prevent the spread of chemical and biological weapons,17
Q785701,Guidelines International Network,scientific association,4
Q810681,Bat Conservation International,international non-governmental organization for bat conservation,5
Q816706,Southern African Development Community,intergovernmental trade and development body,37
Q827927,Inmarsat,satellite communications company,32
Q829290,World Union for Protection of Life,organization founded by Günther Schwab,3
Q838685,United Nations Group of Experts on Geographical Names,expert group on toponyms,16
Q844554,International Union of Tenants,international confederation of tenants' unions,4
Q846656,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nation Organization,36
Q852242,College of Cardinals,body of all cardinals of the Catholic Church,41
Q2663713,Eurasian Customs Union,customs union which consists of all the Member states of the Eurasian Economic Union,30
Q2670565,Maphilindo,"proposed political union of Malaysia, Indonesia and the Philippines",12
Q2699560,FIA World Motor Sport Council,,12
Q2719315,Q2719315,,4
Q2745607,Divine Life Society,Religious Organization,9
Q2782558,Test-Achats,,5
Q2784448,Arabs for Israel,,3
Q2819425,ASIS International,"professional organization focused on the security industry, formerly American Society for Industrial Security",5
Q2822422,International Academy Of Heraldry,international heraldry organization,6
Q2843021,American Society of Plumbing Engineers,"The international organization for professionals skilled in the design, specification and inspection of plumbing systems",3
Q2844165,Amphibian Ark,,4
Q2856265,International Renewable Energy Alliance,,3
Q2863003,ABCA Armies,"organization of Australian, Canadian, New Zealand, United Kingdom and United States armies that work together to optimize coalition interoperability",5
Q2867530,Association of National Olympic Committees,sports organization,20
Q2867697,Middle East Pact,,2
Q2867813,International Association of Visual Semiotics,,3
Q2883427,West African Development Bank,international Multilateral Development Bank in Africa,4
Q2889759,Q2889759,,1
Q2893060,IsraAid,disaster relief organization,9
Q2902878,Regional Science Association International,association of scholarly societies,11
Q2935655,Campus numérique francophone de Dakar,,1
Q2974848,United Cities and Local Governments of Africa,African regional section of UCLG,2
Q2974854,United Cities and Local Governments,"umbrella organization for cities, local and regional governments, and municipal associations throughout the world",13
Q2992941,Office for Democratic Institutions and Human Rights,principal institution of the Organization for Security and Cooperation in Europe,11
Q2997673,Corporate Europe Observatory,non-profit research and campaign group,6
Q3060521,EuroCRIS,European organization responsible for publicising work on current research information systems,2
Q3060587,EUROCHAMBRES,Association of European Chambers of Commerce and Industry,3
Q3061460,Everest Peace Project,film directed by Lance Trumbull,4
Q3075387,Asia–Europe Foundation,,2
Q3075682,Anna Lindh Euro-Mediterranean Foundation for the Dialogue Between Cultures,international organization,6
Q3078674,World Education Forum,Representative body of major education-related organizations,6
Q3091986,United Towns Organisation,,3
Q3107358,World Organization of Family Doctors,global not-for-profit,5
Q3133652,Homenetmen,pan-Armenian organisation,9
Q3146579,African Institute for Economic Development and Planning,research institute,1
Q3152127,UNESCO Institute for Statistics,international organization,2
Q3152328,International Institute for the Study of Nomadic Civilizations,UNESCO category 2 international research institute,2
Q3152339,International Institute of Refrigeration,,5
Q3153334,Communist Workers' International,german-based council communist international,7
Q3191871,Kahala Posts Group,International alliance of postal administrations,1
Q3240310,International Communist League (Fourth Internationalist),organization,5
Q3272870,MEDays,,3
Q3338551,Regional Environmental Center for Central and Eastern Europe,,3
Q3356014,international solidarity organization,,0
Q3356047,CICOPA,"branch of the International Cooperative Alliance that promotes worker cooperatives, social cooperatives and producers' cooperatives",2
Q3356059,International Meteorological Organization,defunct international organization (1873–1951) for meteorology,8
Q3356087,ODESUR,organization,5
Q3356119,Co-ordinated organisations,,2
Q3369762,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,international organization which promotes nuclear disarmament,5
Q3374867,Copenhagen Malmö Port,trans-national port authority (Denmark/Sweden),5
Q3390451,Friends of the Soviet Union,,7
Q3411760,Q3411760,,1
Q3456784,Network of Aquaculture Centres in Asia-Pacific,intergovernmental organization that promotes rural development through sustainable aquaculture,3
Q3470177,International Salon for Peace Initiatives,,2
Q3480505,Nordic Genetic Resource Center,Nordic genebank and seedbank,8
Q3489005,Couple to Couple League,non-profit organization in the USA,4
Q3490451,Pagan Federation,,5
Q3512342,TRAFFIC,international organization,6
Q3524692,Third World Network,international research and advocacy organisation,2
Q3537384,Transatlantic Business Dialogue,,2
Q3550311,UIRR,European organization promoting intermodal transport,3
Q3718633,International Agency for the Prevention of Blindness,,1
Q3754962,International Dunhuang Project,international collaborative effort,6
Q3788461,ICRANet,,8
Q3797568,Inter-parliamentary Coalition for Combating Antisemitism,,2
Q3799614,International Gay and Lesbian Travel Association,,6
Q3843653,Maker Faire Africa,,3
Q3850299,Andean Group,organization,3
Q3866537,Movement Coordination Centre Europe,multi-national European coordinating body for military air lift and surface movement,2
Q3977756,Arab Towns Organization,network of municipalities in Arab nations,3
Q4004922,Parliamentary Union of the OIC Member States,Organisation composed of the parliaments of the Organisation of Islamic Cooperation members states,8
Q4020941,World Social Summit,,3
Q4033111,AUSCANNZUKUS,"naval Command, Control, Communications and Computers (C4) interoperability organization involving Australia, Canada, New Zealand, the United Kingdom, and the United States",6
Q4045970,Orgalim,,2
Q4048699,SCAPR,international organization,1
Q4127406,World Congress of Accountants,,3
Q4127408,Ukrainian World Congress,international organization,6
Q4130823,Hague Conference on Private International Law,international organization,16
Q4164494,"Arab League Educational, Cultural and Scientific Organization",international organization,10
Q4173083,Eurasian Economic Union,economic union of northern and central Asian and eastern European countries,66
Q4288166,Q4288166,,2
Q4288173,International Tuba Euphonium Association,,2
Q4288518,International Youth Nuclear Congress,organization,3
Q4426267,Air and Space Interoperability Council,Five Eyes military organization,2
Q4442335,The Leprosy Mission,non-governmental organization,4
Q4451222,International Association of Bryologists,professional association promoting bryology,3
Q4542328,Khmers Kampuchea-Krom Federation,organization representing Khmer Krom people,8
Q4650700,ACMECS,"political, economic, and cultural organization",2
Q4651662,AGIS,network of organizations promoting access to information and knowledge for all,1
Q4651977,International Association of Horticultural Producers,international organization dedicated to promoting horticultural producers,3
Q4653814,ARLEM,,5
Q4689918,African Standby Force,,5
Q4698982,Airports Council International Europe,trade association,1
Q4728711,All European Academies,aLLEA,4
Q4732463,Alliance of Religions and Conservation,,2
Q4737012,"Altrusa International, Inc",,1
Q4783148,Arab Bank for Economic Development in Africa,bank for the development of African countries,5
Q4783192,Arab Information and Communication Technologies Organization,Arab governmental organization,2
Q4804101,ASEAN Federation of Accountants,body that represents the accountancy profession in the ASEAN region,0
Q4806261,Asia-Pacific Telecommunity,telecommunications union,2
Q359,WikiLeaks,"international non-profit organization with HQ in Sweden which publishes secret information, by keeping sources anonymous",129
Q1065,United Nations,global international and intergovernmental organization,277
Q6867,International Astronomical Union,association of professional astronomers,86
Q7164,World Bank,international financial institution,131
Q7172,Arab League,organization of Arab states,137
Q7184,NATO,intergovernmental military alliance of Western states,204
Q7779,Commonwealth of Independent States,regional organization whose participating countries are former Soviet Republics,127
Q7795,Organization of the Petroleum Exporting Countries,international organization of petroleum-exporting countries,129
Q7809,UNESCO,"specialized agency of the UN that promotes education, science and culture",187
Q7817,World Health Organization,specialized agency of the United Nations that is concerned with international public health,182
Q7825,World Trade Organization,organization that intends to supervise and liberalize international trade,138
Q8475,Interpol,International organization,97
Q8874,Bolivarian Alliance for the Americas,"Intergovernmental organization based on the idea of the social, political and economic integration of the countries of Latin America and the Caribbean",37
Q8919,European Atomic Energy Community,international organization,62
Q13116,Benelux,"politico-economic union between Belgium, the Netherlands and Luxembourg",110
Q16805,Scandiatransplant,organ donation organization,1
Q27396,World Federation of Democratic Youth,youth organization,31
Q28346,International Union of Pure and Applied Physics,international non-governmental organization,28
Q32874,United Nations Economic Commission for Latin America and the Caribbean,organization,23
Q40358,American Association for the Advancement of Science,international non-profit organization promoting science,25
Q41230,Islamic Development Bank,"multilateral development financing institution located in Jeddah, Saudi Arabia",36
Q41550,Organisation for Economic Cooperation and Development,international economic organization,101
Q41644,Warsaw Pact,international military alliance of Communist states,107
Q42262,European Space Agency,intergovernmental organization dedicated to the exploration of space,106
Q42944,CERN,international organization which operates the world's largest particle physics laboratory,97
Q45433,British Council,organization,44
Q47543,Organisation of Islamic Cooperation,international organization,83
Q48192,International Coffee Organization,group for enhancing cooperation between nations dealing in coffee,19
Q54129,International Labour Organization,United Nations agency dealing with labour issues,85
Q55200,Women in Technology International,International organization devoted to the advancement of women in technology,6
Q72781,Privacy International,international organization,15
Q77630,United Nations REDD Programme,organization,4
Q83201,Non-Aligned Movement,group of states which are not formally aligned with or against any major power bloc,84
Q107569,Club of Rome,nonprofit organization,42
Q109179,Rotary International,international non-profit service organization,50
Q118922,United Nations Observer Mission in Georgia,United Nations peacekeeping operation in Georgia from 1993 to 2009,22
Q119945,Hillel International,Hillel International: The Foundation for Jewish Campus Life.,13
Q123209,Latin Union,organization,47
Q123759,Organization of American States,international organization,80
Q129516,International Academy of Sciences San Marino,international scientific association,18
Q132551,United Nations High Commissioner for Refugees,United Nations agency mandated to protect and support refugees,77
Q133207,Society of the Muslim Brothers,transnational Egyptian Islamist organization,83
Q141720,European Air Transport Command,Pan-European command centre for military transport,9
Q146165,Nordic Council,geo-political inter-parliamentary forum for co-operation between the Nordic countries,61
Q146905,Zangger Committee,supranational organization concerned with reducing the proliferation of nuclear technologies,7
Q151991,European Southern Observatory,intergovernmental research organization for ground-based astronomy,55
Q157169,World Alliance of YMCAs,worldwide organization,47
Q160805,United Nations Interim Force in Lebanon,United Nations-NATO peacekeeping mission,31
Q161718,United Nations Development Programme,global network for development of United Nations,71
Q162027,International Federation of Translators,"The voice of associations of translators, interpreters and terminologists around the world",17
Q166110,Union State,supranational entity consisting of the Russian Federation and the Republic of Belarus,38
Q166546,European Free Trade Association,regional trade organization and free trade area,64
Q170245,United Nations Protection Force,United Nations peacekeeping force in Croatia and in Bosnia and Herzegovina,28
Q170481,Asia-Pacific Economic Cooperation,international economic forum,70
Q173793,International Commission on Intervention and State Sovereignty,international organization,2
Q174240,Transparency International,Non-governmental organization,60
Q182500,Community of Portuguese Language Countries,international organization,59
Q189946,Western European Union,former international organization and military alliance,50
Q189966,Economic Community of Central African States,customs union,24
Q190019,Central American Common Market,association of Central American nations that was formed to facilitate regional economic development through free trade and economic integration,11
Q190650,Central Commission for Navigation on the Rhine,international organization,12
Q191582,COMECON,Former International Organization,53
Q191703,Organisation of African Unity,organization,52
Q192916,Pan European Game Information,European video game content rating system,50
Q194284,General Agreement on Tariffs and Trade,multilateral agreement regulating international trade,48
Q199208,Global Peace Foundation,organization,6
Q201449,World Russian People's Council,international organization,5
Q202622,G-14,international organization,40
Q205386,World Zionist Organization,organization founded by the initiative of Theodor Herzl,33
Q205995,Caribbean Community,organisation of 15 Caribbean nations and dependencies,52
Q208019,Eastern Partnership,"EU project with Armenia, Azerbaijan, Belarus, Georgia, Moldova and Ukraine",43
Q215613,Unrepresented Nations and Peoples Organization,organization,50
Q215934,Save the Children,London-based international non-profit organization,39
Q219575,United Nations peacekeeping,The monitoring and observation of peace processes in post-conflict areas,57
Q221779,European Conference of Postal and Telecommunications Administrations,European regulatory agency umbrella organization for state telecommunications and postal services,21
Q223400,Euro NCAP,European car safety assessment programme,28
Q229478,International Bureau of Weights and Measures,intergovernmental metrology standards-setting organization,55
Q241824,International Union of Radio Science,organization,12
Q245076,Interstate Aviation Committee,executive body of the Civil Aviation and Airspace Use Council of the Commonwealth of Independent States (CIS),31
Q252420,International Peace Bureau,international organization,51
Q253988,International Federation of Film Critics,association of national organizations of professional film critics,33
Q260487,European Community,"organization in 1993-2009, renamed European Economic Community",24
Q262250,International Crops Research Institute for the Semi-Arid Tropics,International research organization,9
Q262779,United Nations Assistance Mission for Rwanda,failed UN Mission to mediate peace in Rwanda leading up to the [[Rwandan genocide]],18
