WikidataID,itemLabel
Q262779,United Nations Assistance Mission for Rwanda
Q2629175,International Association for Analytical Psychology
Q2652007,Global Network of People living with HIV/AIDS
Q2663713,Eurasian Customs Union
Q26780139,Network of Regional Governments for Sustainable Development
Q270029,Lions Clubs International
Q27396,World Federation of Democratic Youth
Q285836,International Research Universities Network
Q2867530,Association of National Olympic Committees
Q2883427,West African Development Bank
Q2902878,Regional Science Association International
Q2935655,Campus numÃ©rique francophone de Dakar
Q29576723,European Network of Science Centres and Museums
Q29577703,European Health Telematics Association
Q29581936,"European Council of the Industry of Paint, Printing Inks and Art Colors"
Q29585500,Trans European Policy Studies Association
Q295875,Anzus
Q2974848,United Cities and Local Governments of Africa
Q2974854,United Cities and Local Governments
Q298006,ASSITEJ
Q2992941,Office for Democratic Institutions and Human Rights
Q29958388,European Network of Living Labs
Q30324772,Internal Displacement Monitoring Centre
Q30607187,Fourth Estate
Q309195,Bank for International Settlements
Q3091986,United Towns Organisation
Q3107358,World Organization of Family Doctors
Q3146579,African Institute for Economic Development and Planning
Q3152127,UNESCO Institute for Statistics
Q318693,Collective Security Treaty Organisation
Q323921,European Air Group
Q3240310,International Communist League (Fourth Internationalist)
Q3356047,CICOPA
Q3369762,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean
Q337456,East African Community
Q33923369,International Commission for the Northwest Atlantic Fisheries
Q340195,African Development Bank
Q3480505,NordGen
Q35122846,Authorised Neutral Athletes
Q352378,Adaptation Fund
Q3550311,UIRR
Q356694,Comprehensive Nuclear-Test-Ban Treaty Organization
Q359,WikiLeaks
Q369760,Nuclear Energy Agency
Q3754962,International Dunhuang Project
Q380340,Organization of the Black Sea Economic Cooperation
Q3866537,Movement Coordination Centre Europe
Q388314,International Union of Railways
Q392770,Organisation of Eastern Caribbean States
Q3977756,Arab Towns Organization
Q40358,American Association for the Advancement of Science
Q4048699,SCAPR
Q41230,Islamic Development Bank
Q41550,Organisation for Economic Cooperation and Development
Q41644,Warsaw Pact
Q4173083,Eurasian Economic Union
Q42262,European Space Agency
Q4264,Mercosur
Q42944,CERN
Q4426267,Air and Space Interoperability Council
Q453851,Women's International Democratic Federation
Q461736,Paris Club
Q4651662,AGIS
Q4651977,International Association of Horticultural Producers
Q4728711,All European Academies
Q4737012,"Altrusa International, Inc"
Q47543,Organisation of Islamic Cooperation
Q477328,Group of 77
Q4804101,ASEAN Federation of Accountants
Q485207,Shanghai Cooperation Organisation
Q488981,European Bank for Reconstruction and Development
Q48964617,International Commission on Physics Education
Q48982173,International Group of Controlling
Q492442,United Nations University
Q49963116,International Federation of Infection Control
Q50072884,European Group for Intelligent Computing in Engineering
Q50078510,International Dairy Federation
Q5008818,Caribbean Forum
Q5013378,COMSTECH
Q50180867,Mediterranean Forum of Physical and Rehabilitation Medicine
Q50183955,European Association for Potato Research.
Q50211077,Europhras
Q5039374,Caribbean Disaster Emergency Management Agency
Q5064513,Regional Center for the Promotion of Books in Latin America and Caribbean
Q511252,International Federation of BodyBuilding & Fitness
Q511645,PostEurop
Q5150848,Combined Communications Electronics Board
Q5152725,Commission on Legal Empowerment of the Poor
Q51720373,Single African Air Transport Market
Q521227,Organisation for Joint Armament Cooperation
Q5322748,European Composer and Songwriter Alliance
Q5324551,EURAMET
Q5412231,European Anti Poverty Network
Q54129,International Labour Organization
Q5413210,European Society for Translation Studies
Q5513635,GLOBE
Q55611160,European Historic Houses Association
Q574863,Anarchist St. Imier International
Q5762557,Youth for Exchange and Understanding
Q5774360,Leo Club
Q579663,International Union of Geological Sciences
Q58077156,International Tag Federation
Q580933,Northwest Atlantic Fisheries Organization
Q595208,World Confederation of Labour
Q596850,Turkic Council
Q5970856,IFRS Foundation
Q5972067,Independent Music Companies Association
Q599328,International Workers League â Fourth International
Q59987349,New Hanseatic League
Q602399,Amazon Cooperation Treaty Organization
Q6044782,Inter-university Consortium for Political and Social Research
Q6048438,International Association of Conference Interpreters
Q6049828,International Coordination Meeting of Youth Organisations
Q6049887,International Council for Philosophy and Humanistic Studies
Q6052196,International Noble Gas Experiment
Q6052332,International Parliament for Safety and Peace
Q6053128,International Search and Rescue Advisory Group
Q6053530,International Soil Reference and Information Centre
Q6054091,International Union for Prehistoric and Protohistoric Sciences
Q607301,Latin American Integration Association
Q6126601,International Association for the Protection of Intellectual Property
Q61275219,Instrument in Support of Trade Exchanges
Q61403156,The Global Bank Investment Guarantee Agency
Q62057751,Provisional International Civil Aviation Organization
Q624372,Fare network
Q62570867,Affinity Group of National Associations
Q62570916,Artists at Risk Connection
Q62571054,Conference of Ibero-American Cinematographic Authorities
Q63209041,Nordic Gene Bank
Q63970094,Pacific Rim Research Libraries Alliance
Q641576,UN Women
Q64484547,U=U
Q64596466,DIMMID
Q65117275,Irish Genealogical Research Society
Q653277,Partnership for Peace
Q659012,United Nations Economic Commission for Europe
Q668205,World Association of Nuclear Operators
Q673158,Wassenaar Arrangement
Q677691,ICLEI â Local Governments for Sustainability
Q6867,International Astronomical Union
Q695186,United Nations Mission for the Referendum in Western Sahara
Q695267,European Molecular Biology Laboratory
Q698099,Allied Control Council
Q699036,United Nations Truce Supervision Organization
Q7101941,Organization for Human Brain Mapping
Q7119584,PLANWEL
Q7122288,Pacific Alliance
Q7164,World Bank
Q7184,NATO
Q718728,SÃ¡mi Parliamentary Council
Q7203726,Plazi
Q72781,Privacy International
Q72936141,International GLAM Labs Community
Q7318376,Review of International Organizations
Q734704,International Federation of Vexillological Associations
Q735279,Committee on Data for Science and Technology
Q7400443,Sailors' Society
Q740384,The International Committee for the Conservation of the Industrial Heritage
Q748999,World Federation of Trade Unions
Q75720752,European Union of Christian Democratic Workers
Q757276,Pacific Islands Forum
Q76118554,SÃ¡mi GiellagÃ¡ldu
Q7700298,Tennis Canada
Q770608,Rec.Sport.Soccer Statistics Foundation
Q7751762,The Mission to Seafarers
Q7768229,The Technical Cooperation Program
Q7779,Commonwealth of Independent States
Q778126,Intelsat
Q7795,Organization of the Petroleum Exporting Countries
Q7809,UNESCO
Q7817,World Health Organization
Q7825,World Trade Organization
Q7886620,Union of International Mountain Leader Associations
Q7948928,WELMEC
Q7988404,Western Union
Q8035358,World Apple and Pear Association
Q8035540,World Clown Association
Q810681,Bat Conservation International
Q816706,Southern African Development Community
Q82151,FAO
Q827927,Inmarsat
Q829290,World Union for Protection of Life
Q838685,United Nations Group of Experts on Geographical Names
Q846656,United Nations Relief and Works Agency for Palestine Refugees in the Near East
Q8475,Interpol
Q852242,College of Cardinals
Q871511,Pacific Community
Q872148,SIGNIS
Q87332607,United Nations Confidence Restoration Operation in Croatia
Q88234914,Africa Centres for Disease Control and Prevention
Q88402135,African Civil Aviation Commission
Q8874,Bolivarian Alliance for the Americas
Q8919,European Atomic Energy Community
Q89913719,International Association for  Classical Archaeology
Q9075403,Ibero-American General Secretariat
Q922158,United Nations Military Observer Group in India and Pakistan
Q935345,European Youth Forum
Q941157,NATO Maintenance and Supply Agency
Q942284,Lutheran World Federation
Q943105,Rio Group
Q947379,Forum on ChinaâAfrica Cooperation
Q951292,Fimcap
Q96693279,Union of National Radio and Television Organizations of Africa
Q994643,Federation of Associations for Hunting and Conservation of the EU
Q26683,PLO
Q223799,TASS
Q37470,Security Council
Q178888,Fatah
Q47423,UN General Assembly
Q277252,SEATO
Q6049802,International Control Commission
Q162222,Bundesbank
Q7804,IMF
Q753932,Izvestia
Q1281480,Awami League
Q1279051,Palestine Liberation Army
Q37230,CIA
Q7172,Arab League
Q7178,Red Cross
Q52847,EEC
Q944947,North Atlantic Council
Q130879,Reuters
Q203427,ZANU
Q217072,USAID
Q28699,UNITA
Q7801,International Court of Justice
Q9684,New York Times
Q166032,Washington Post
Q7768,ASEAN
Q41984,IAEA
Q182000,UNCTAD
Q740308,UNICEF
Q386120,UNIDO
Q189946,WEU
