WikidataID,itemLabel,en_description,instanceof
Q16238796,Babai River,river in Nepal and India,river
Q3703,Bamako,capital of Mali,city
Q577148,Lake Manyara,salinity,lake
Q43235,Rondônia,state in the North Region of Brazil,federative unit of Brazil
Q688281,Vrindavan,"city in Mathura district, Uttar Pradesh, India",city of India
Q22285470,Clara Bryant Ford,wife of Henry Ford (1866–1950),human
Q3845,Western New Guinea,region of Eastern Indonesia on the island of New Guinea,geographic region
Q5294581,Donald J. Pease,American politician (1931-2002),human
Q1591064,Sri Lanka Freedom Party,Political party in Sri Lanka,political party
Q25344,Swiss franc,currency of Switzerland and Liechtenstein,currency
Q191346,Pahang,Malaysian state,state of Malaysia
Q5617050,Gujarmal Modi,Indian businessman (1902-1976),human
Q23346,Sussex,"historic county of England, United Kingdom",historic county of England
Q1752623,Roberto Marinho,Brazilian media entrepreneur (1904–2003),human
Q2033705,Wollo Province,historical region and province of Ethiopia,province of Ethiopia
Q7349372,Robert Roosa,"American economist, banker, Treasury Undersecretary (1918-1993)",human
Q5259060,Dennis Weatherstone,British banker (1930-2008),human
Q4856062,Bank of British West Africa,former British Overseas bank,bank
Q4945225,Boris Casoy,Brazilian journalist,human
Q138518,Princeton,"municipality in Mercer County, New Jersey, United States",borough of New Jersey
Q2522545,Victor Purcell,British sinologist,human
Q124953,Hanna Holborn Gray,American historian,human
Q1666849,International Rescue Committee,non-profit organization in the USA,non-governmental organization
Q2093421,Bushrod Island,island in Liberia,island
Q904240,Mitsui & Co.,Japanese trading company,sōgō shōsha
Q4165768,Saad Jumaa,Jordanian politician,human
Q15452674,John Christian Bullitt,American lawyer,human
Q27995841,John Newhouse,American journalist (1929-2016),human
Q5298065,Dorman Long,engineering consultancy and equipment manufacturer,business
Q211970,Entebbe,city in Uganda,city
Q191999,Robert McNamara,American businessman and Secretary of Defense (1916-2009),human
Q1191051,International Food Policy Research Institute,organization,research institute
Q1360303,University of Kentucky,public university in the United States,university
Q1967889,National Bank of Ethiopia,central bank of Ethiopia,central bank
Q504309,St. Louis Cardinals,"Major League Baseball franchise in St. Louis, Missouri",baseball team
Q367890,Charles Singer,British historian of science (1876-1960),human
Q577417,Chicago Sun-Times,"daily newspaper in Chicago, Illinois",newspaper
Q80914,Tabasco,state of Mexico,state of Mexico
Q718911,Lewis Thompson Preston,American banker (1926-1995),human
Q23548,National Aeronautics and Space Administration,American space and aeronautics agency,independent agency of the United States government
Q179528,Nile Delta,delta formed in Northern Egypt where the Nile River drains into the Mediterranean Sea,river delta
Q2395492,Tate & Lyle,British-based multinational agribusiness,public company
Q2993421,Martin Wolf,British journalist,human
Q6278768,Jorge Wehbe,Argentine lawyer and economist,human
Q5172375,Corporación Venezolana de Guayana,Venezuelan conglomerate,business
Q857063,Citibank,American multinational bank,bank
Q6216660,Johannes F. Linn,German economist,human
Q4808370,Assam Agricultural University,"An agricultural university which was established in 1969 under the Assam Agricultural University Act 1968 January 2, 1969.",university
Q18719218,James B. Ramsey,Canadian economist,human
Q135477,Chari River,river in central Africa,river
Q695292,Arnold Harberger,American economist,human
Q310956,Clifford Geertz,American anthropologist,human
Q587187,Destour,political party,political party
Q6970853,National Awami Party,political party in East and West Pakistan,political party
Q1002799,Nzérékoré,human settlement,human settlement
Q1136919,Iowa State University,"public research university in Ames, Iowa, United States",land-grant university
Q3629904,Sikander Bakht,Indian politician,human
Q5387483,Eric Sevareid,American journalist (1912–1992),human
Q4743741,American Farm Bureau Federation,agricultural lobbying organization in the United States,advocacy group
Q156725,University of Hamburg,"university in Hamburg, Germany",public university
Q871265,East Lansing,"city in Ingham and Clinton counties, Michigan, United States",city in the United States
Q290061,Veerasamy Ringadoo,Governor-General of Mauritius (1920-2000),human
Q6673698,Dusit Thani Bangkok,"former Hotel in Bangkok,Thailand",hotel
Q964152,Praphas Charusathien,"Thai military officer, politician (1912-1997)",human
Q157915,Garoua,city in Cameroon,city
Q211055,Mahikeng,"city in North West, South Africa",town
Q376123,Namche Bazaar,human settlement,human settlement
Q1371465,Léon Mébiame,Prime Minister of Gabon (1934-2015),human
Q2638941,Farakka Barrage,Barrage of India,dam
Q1982674,Norman Gall,American historian,human
Q65556,Hans Matthöfer,German politician (SPD) (1925-2009),human
Q3040913,Dudley Seers,British economist specialized in development economics,human
Q3915,Antananarivo,capital and largest city of Madagascar,capital city
Q4665360,Abdul Hafiz Pirzada,Pakistani politician (1935-2015),human
Q1503417,The Star,South African daily newspaper,daily newspaper
Q1192117,Municipal Corporation of Delhi,"municipal corporation in Delhi, India",municipal corporation in India
Q92729056,Ahmadul Kabir,Indian politician,human
Q838870,Montreuil-Bellay,"commune in Maine-et-Loire, France",commune of France
Q262,Algeria,country in North Africa,country
Q1127365,Conservation International,nonprofit environmental organization,organization
Q770910,Barão de Cocais,municipality of Brazil,municipality of Brazil
Q7618835,Stone & Webster,former American engineering company,concern
Q2661290,University of Limoges,French university,university in France
Q962612,United Nations Research Institute For Social Development,institute,institute
Q131248,Lee Kuan Yew,1st Prime Minister of Singapore (1923–2015),human
Q932300,Pierre-Paul Schweitzer,Managing director of the IMF,human
Q6224611,John C. Sawhill,President of New york university (1936-2000),human
Q355447,Fukuzawa Yukichi,"Modern Enlightenment thinker, educator, philosopher, scholar, author, writer, journalist, translator, entrepreneur, and founder of Keio University in Japan's Meiji era (1835-1901)",human
Q5584396,Gorakhpur,"city in Uttar Pradesh, India",city
Q2717630,Rosa Luz Alegría,Mexican physicist,human
Q29886488,Ramesh Chander,Malaysian economist,human
Q1757722,Yaoundé Convention,1963 convention between the EEC and AASM,treaty
Q246540,Dragutin Haramija,"Croatian politician, political commissar and economist (1923-2012)",human
Q6135277,James H. Scheuer,American politician,human
Q5460319,Flora Lewis,American journalist,human
Q15260223,Mumbai Port Trust,Port of India,port
Q4710205,Albert Fishlow,American economist,human
Q1939211,Mississippi State University,"public university near Starkville, Mississippi, USA",land-grant university
Q2627082,Bombay State,former state of India,state of India
Q3344266,Anandabazar Patrika,Indian Bengali language daily newspaper,newspaper
Q804681,Balbina Dam,dam,dam
Q658945,Neue Zürcher Zeitung,Swiss German-language daily newspaper,daily newspaper
Q486156,University of Oslo,Norwegian public research university,public university
Q980770,Lomé Convention,treaty,treaty
Q421263,University of Rome,Wikimedia disambiguation page,Wikimedia disambiguation page
Q3645421,Brown Brothers Harriman & Co.,private investment bank,investment bank
Q3006195,Crédit Commercial de France,"defunct French bank, now part of HSBC",commercial bank
Q2904537,David Dodd,American educator and economist,human
Q2827624,Ahmed Mestiri,Tunisian lawyer and politician,human
Q5030486,Canadian Political Science Association,,learned society
Q401034,Ahmadu Bello University,"public university in Zaria, Nigeria",public university
Q4689959,African Wildlife Foundation,international conservation organization,nonprofit organization
Q7576252,Helena Benitez,Filipino Senator and civic leader (1914-2016),human
Q116965,Arthur Dunkel,Director-general of General Agreement on Tariffs and Trade GATT,human
Q1471625,Jagjivan Ram,Indian independence activist and politician (1908-1986),human
Q9161,Josip Broz Tito,Yugoslav revolutionary and statesman (1892−1980),human
Q2975772,Tajuddin Ahmad,Bangladeshi politician and first Prime Minister of Bangladesh (1925-1975),human
Q7245,Mark Twain,American author and humorist (1835–1910),human
Q8619,Pierre Trudeau,Prime minister of Canada from 1968 to 1979 and 1980 to 1984,human
Q12181838,Ebrahim Nafae,Egyptian journalist (1934-2018),human
Q463410,AARP,nonprofit organization,association
Q14946868,Richard Jolly,British economist,human
Q6100528,Turhan Feyzioğlu,Turkish politician,human
Q2034767,Salomon Brothers,former American investment bank,business
Q503941,Sokoto State,A state in the northern part of Nigeria,state of Nigeria
Q5085907,Charlotte Curtis,American journalist,human
Q4166555,Hazza' al-Majali,Jordanian PM,human
Q365890,Alden W. Clausen,"American businessman, President of the World Bank, 1981-1986",human
Q2657838,Rao Birender Singh,Indian politician,human
Q315615,Miguel Alemán Valdés,President of Mexico from 1946 to 1952,human
Q8017197,William R. Cline,American economist,human
Q1472474,Southern Illinois University,"state university system based in Carbondale, Illinois, United States",state university system
Q37548,Northeastern University,"private university in Boston, Massachusetts, USA",university
Q3551251,Marikina River,river in the Philippines,river
Q579968,University of Missouri,"public research university in Columbia, Missouri, USA",land-grant university
Q1685206,Jean-Pierre Fourcade,French politician,human
Q118850,Chao Phraya River,largest river in Thailand,river
Q529062,Herbert Anaya,President of the Human Rights Commission of El Salvador (1954-1987),human
Q38891,Aswan Dam,"dam in Aswan, Egypt",dam
Q183399,Financial Times,London-based daily newspaper,daily newspaper
Q326183,Jefferson Memorial,"memorial in Washington, D.C., United States",National Memorial of the United States
Q446094,American Lung Association,organization,nonprofit organization
Q160640,Raymond Aron,"French philosopher, sociologist, journalist, and political scientist (1905–1983)",human
Q177882,baht,official currency of Thailand,currency
Q73820,The MIT Press,American university press,university press
Q16887094,Mary Wolfe,American politician,human
Q513,Mount Everest,"Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas",mountain
Q191829,Magdalena River,river in Colombia,river
Q17183894,Tropical Agricultural Research and Higher Education Center,research institution in Costa Rica,university
Q41053,Hezbollah,Lebanese Shia Islamist political party and militant group,political party
Q312849,Mongkut,Thai king,human
Q294365,Talal I of Jordan,King of Jordan from 1951 to 1952,human
Q64747301,Stanford G. Ross,American attorney (1931-2020),human
Q1759758,Júlio Mesquita,municipality/county in the state of São Paulo in Brazil,municipality of Brazil
Q5516806,Gaganvihari Lallubhai Mehta,Indian diplomat,human
Q13344,University of Bordeaux,university in France,university in France
Q1432750,TAZARA Railway,railway in Tanzania and Zambia,railway line
Q268072,Instituto Brasileiro de Geografia e Estatística,Brazil's principal government institution in charge of statistics and census data,statistical service
Q2514465,Aquiles Serdán Alatriste,Mexican politician,human
Q7970562,Warren Unna,American journalist (1923-2017),human
Q4807564,Asoka Mehta,Indian politician,human
Q2665236,Moeenuddin Ahmad Qureshi,Prime Minister of Pakistan,human
Q2882874,Banobras,Mexican development bank,bank
Q4115969,Stanford University School of Medicine,medical school of Stanford University in California,medical school
Q90018578,M. A. Sattar,Bangladeshi industrialist and politician (1925-2009),human
Q11553006,1971 Okinawa Reversion Agreement,agreement between Japan and the United States,treaty
Q654544,Sudd,swamp,swamp
Q27906706,Diana Pombo,"Colombian environmentalist, architect, and writer",human
Q5555373,Ghana News Agency,official news agency of Ghana,news agency
Q988284,MUFG Bank,Japanese company,commercial bank
Q2788107,André Vlerick,"businessman, politician, professor",human
Q4215834,United States Secretary of the Treasury,head of the United States Department of the Treasury,position
Q5079346,Charles J. Hitch,American academic administrator,human
Q951051,Ramsar,"city in Mazandaran Province, Iran",city of Iran
Q1039196,Carl Kaysen,American economist,human
Q852,Lockheed L-1011 TriStar,airliner family,aircraft family
Q49207,University of New Hampshire,"public research university in New Hampshire, USA",land-grant university
Q232415,Belgian franc,currency of the Kingdom of Belgium from 1832 until 2002,franc
Q1259188,White Volta,river,river
Q238803,Maidenhead,"town and unparished area in Berkshire, England",town
Q7358220,Roger G. Kennedy,Director of the US National Park Service (1926-2011),human
Q59055,Berlingske,Danish newspaper,newspaper
Q585828,Seton Hall University,"private Roman Catholic university in South Orange, New Jersey",Catholic university
Q834409,National Order Party,Islamist political party in Turkey,political party
Q2512771,Farnham Royal,"village and civil parish in Buckinghamshire, United Kingdom",village
Q3017617,David Mulford,American diplomat,human
Q1989539,Nigel F. Palmer,British Germanist and Professor Emeritus at the University of Oxford,human
Q709066,Arthur D. Little,company,management consulting company
Q5555333,Ghana Army,land warfare branch of Ghana's military,army
Q532494,New York Herald Tribune,defunct American newspaper published in New York City,newspaper
Q312739,Irving Fisher,American economist,human
Q662406,Jean-François Deniau,"French politician, diplomat and author (1928–2007)",human
Q44061,Wassily Leontief,Russian economist (1906-1999),human
Q1515,Abidjan,city and the former official capital of Ivory Coast,city
Q586904,Federal University of Rio de Janeiro,university in Brazil,public university
Q466835,Washington Dulles International Airport,"airport in Dulles, Virginia serving the Washington Metropolitan Area in the United States",international airport
Q2547309,Walther Leisler Kiep,German politician,human
Q1567050,Hacettepe University,Turkish public university located in Ankara,public university
Q4671036,The Sumitomo Bank,Japanese bank active between 1895 and 2001,business
Q806646,Bank Negara Malaysia,central bank,central bank
Q261506,Makerere University,Ugandan public university,public university
Q1606941,Henry Kaufman,American economist,human
Q1675690,Ivar Nørgaard,Government minister of Denmark (1922-2011),human
Q314265,Pierre Mendès France,French politician (1907-1982),human
Q6370555,Karim Bangoura,Guinean politician,human
Q956008,Paulo Afonso,"municipality of Bahia State, Brazil",big city
Q6496310,Santander,"bank company based in Cantabria, Spain",public company
Q982421,The Woodlands,"census-designated place in metropolitan Houston, Texas, United States",census-designated place in the United States
Q230861,Édith Cresson,French politician,human
Q43303,Malcolm X,American human rights activist (1925-1965),human
Q5649375,Hanover College,"private, co-ed, liberal arts college, in rural Hanover, Indiana, U.S.",college
Q2054438,Socialist Party of Senegal,political party,political party
Q192964,Istanbul University,"public university in Istanbul, Turkey",public university
Q7876221,U Lwin,Burmese politician (1924-2011),human
Q33486,Hartford,"city in and capital of Connecticut, United States",county seat
Q113034,Fderîck,town in Mauritania,railway station
Q59772969,Mervin E. Muller,American computer scientist and statistician,human
Q575679,Lake Alaotra,lake in Madagascar,lake
Q3926,Pretoria,administrative capital of South Africa located in the Gauteng province,capital city
Q1583390,Félix Houphouët Boigny University,university in Ivory Coast,university
Q2376932,Shahid Javed Burki,Pakistani economist,human
Q183298,Ibadan,capital city of Oyo State in Nigeria,city
Q3764143,Lakshmi Kant Jha,Indian diplomat and economic administrator (1913-1988),human
Q210016,United Nations Day,commemorative day on the 24th October,world day
Q822315,Bernard Binlin Dadié,Ivorian writer and politician,human
Q4111625,Rainforest Action Network,non-profit organization in the USA,nonprofit organization
Q56678195,Dabeeru C. Rao,American geneticist,human
Q60547,Warren Rudman,American politician (1930-2012),human
Q9576,James Callaghan,former prime minister of the United Kingdom (1912–2005),human
Q3535919,William vanden Heuvel,American diplomat,human
Q434463,Dave Obey,American politician,human
Q606553,Pierre Berton,Canadian author and journalist (1920–2004),human
Q299165,Emílio Garrastazu Médici,Brazilian politician (1905-1985),human
Q4932952,Bob Johnston,Australian economist,human
Q1238770,Addis Ababa University,university in Ethiopia,university
Q5772569,Hisham Nazer,"Saudi Arabian politician, businessman",human
Q722462,David Horowitz,"Neoconservative activist, writer",human
Q297134,Hipólito Yrigoyen,former President of Argentina (1852-1936),human
Q4705651,Alain Enthoven,American economist,human
Q191759,Ventimiglia,"city and comune in Liguria, northern Italy",commune of Italy
Q1194832,Toronto-Dominion Bank,Banking and financial services corporation,credit institution
Q20164588,Abu Dhabi Fund for Development,organization,organization
Q1255169,Dragoslav Avramović,Yugoslav/Serbian economist and politician,human
Q3125978,Bali,province of Indonesia,province of Indonesia
Q194445,Cairo University,"public university with its main campus in Giza, Egypt",university
Q4718496,Alexander Cairncross,British economist (1911-1998),human
Q474868,Alor Setar,"state capital of Kedah, Malaysia",city
Q590952,Credit Agricole Group,international cooperative financial group headquartered in France,bank
Q388909,Şerafettin Elçi,Turkish politician (1938-2012),human
Q488048,PricewaterhouseCoopers,multinational professional services brand,business
Q6712335,M. A. Hanna Company,iron ore processing company,business
Q4148820,François-Didier Gregh,French official and statesman (1906-1992),human
Q11354322,Mitsui Bank,business,bank
Q8493,Amu Darya,major river in Central Asia,river
Q1005555,Tumaco,special district of Colombia of the department of Nariño,municipality of Colombia
Q25387643,Compagnie minière de l'Ogooué,mining and processing company,mining company
Q3199089,Kossou,"town and sub-prefecture in Yamoussoukro, Ivory Coast",commune of Ivory Coast
Q970769,Norges Bank,central bank of Norway,central bank
Q10176,University of Lyon,"set of Lyon, France area colleges (2015-)",Group of universities and institutions (France)
Q221645,Stockholm University,"state university of Stockholm, Sweden",university
Q49165,Amherst College,liberal arts college in Massachusetts,liberal arts college
Q939021,Colombian Liberal Party,Center-left political party in Colombia,political party
Q376336,Marcus Fleming,British economist,human
Q277213,Government Gazette,registration authority,registration authority
Q213893,Negeri Sembilan,Malaysian state,federation
Q1174268,David Durenberger,American politician (1934–2023),human
Q529294,Chuck Grassley,United States Senator from Iowa,human
Q648666,United States Department of the Treasury,United States federal executive department,United States federal executive department
Q1200999,Farafenni,city,human settlement
Q4818560,Attiya Inayatullah,Pakistani politician,human
Q7327531,"Richard M. Bissell, Jr.",American spy (1909-1994),human
Q458393,Durham University,"collegiate public research university in Durham, England, United Kingdom",higher education institution
Q1378897,Lloyd Cutler,American lawyer,human
Q7086908,Olin Corporation,American chemical manufacturing company,public company
Q320514,Lancaster,"city in central Lancaster County, Pennsylvania, United States",county seat
Q1358885,Kissidougou,"city in southern Guinea, capital of Kissidougou Prefecture",city
Q1567496,Haditha Dam,dam in Iraq,embankment dam
Q592123,Medmenham,"village in Buckinghamshire, United Kingdom",village
Q1188,Madhya Pradesh,state in central India,state of India
Q186591,Pakistan Peoples Party,social-democratic political party in Pakistan,political party
Q243766,Bucaramanga,"city in Andean Region and Capital of the department of Santander, Colombia",big city
Q186042,John Kenneth Galbraith,Canadian-American economist and diplomat (1908–2006),human
Q7509104,Sidney H. Stein,United States federal judge,human
Q4253367,University of Lucknow,Indian university,university
Q8293113,Wang Renzhong,Chinese politician (1917-1992),human
Q1072029,University of Wales,"confederal university based in Cardiff, Wales, UK",university
Q164028,University of Guadalajara,university in Mexico,public university
Q6434136,Kotmale,"village in Central Province, Sri Lanka",human settlement
Q5184206,Creole Petroleum Corporation,Defunct American oil company operating in Venezuela,business
Q493840,Lawrence,"city in and county seat of Douglas County, Kansas, United States",city in the United States
Q2550911,Jacques van Ypersele de Strihou,Belgian politician,human
Q658984,University of Manila,university,university
Q1430954,Saint Joseph University,"private Catholic research university in Beirut, Lebanon",Catholic university
Q28225339,Bangladesh Water Development Board,Bangladesh Government agency,organization
Q5453108,First Interstate Bancorp,bank holding company,bank
Q3780,Freetown,capital of Sierra Leone,city
Q4708857,Alaungdaw Kathapa National Park,national park in Myanmar,national park
Q5687072,Haynes Johnson,American journalist (1931-2013),human
Q4673779,Achimota School,co-educational high school in Ghana,high school
Q5203727,D. M. Smith,American mathematician,human
Q737739,Robert Muldoon,"Prime Minister of New Zealand, politician (1921–1992)",human
Q531313,Willy De Clercq,Belgian politician (1927-2011),human
Q69401,Morges,"city and municipality in Vaud, Switzerland",municipality of Switzerland
Q917276,Darien Gap,break in the Pan-American Highway consisting of a large swath of undeveloped swampland and forest,geographic region
Q6035603,Inner Traditions – Bear & Company,American book publishing company,publisher
Q214407,Félix Houphouët-Boigny,"doctor, Ivorian politician, first president of Côte d'Ivoire (1905-1993)",human
Q995695,Puerto Cabello,city in Venezuela,city
Q7635874,Sukkur Barrage,"barrage on the Indus near Sukkur, Sindh province, Pakistan",barrage
Q448042,Alusuisse,company,business
Q1340579,Nuwara Eliya,human settlement,city
Q223761,Bobo-Dioulasso,town in Burkina Faso,city
Q321597,Maung Maung Kha,Prime Minister of Burma (1920-1995),human
Q4736968,Altos Hornos de México,steel plant in Mexico,business
Q6686153,Loughborough College,"college in Leicestershire, UK",college
Q1850416,Museu Nacional,"museum of UFRJ in Rio de Janeiro, Brazil",university
Q72539,U.S. Steel,US steel-producing company,public company
Q313411,George Shultz,"American economist, statesman, and businessman (1920-2021)",human
Q29179,Francisco Franco,Spanish general and dictator (1892-1975),human
Q1906048,Marvin Bower,American business theorist,human
Q648551,Nevado del Huila,second highest mountain in Colombia,mountain
Q7121264,P K Mukherjee,Indian businessman,human
Q4737398,Aluminium of Greece,Greek aluminium producing company,business
Q749118,Government Accountability Office,US federal government agency,United States federal agency
Q683252,Danmarks Nationalbank,Danish central bank,central bank
Q7922054,Vernon Alden,American academic,human
Q7327990,Richard N. Gardner,American diplomat (1927-2019),human
Q7896016,University of Oklahoma Press,publishing arm of the University of Oklahoma,university press
Q49116,Dartmouth College,"private university in Hanover, New Hampshire, US",private university
Q129399,Charles W. Whalen,American politician (1920-2011),human
Q8880,European Commission,executive branch of the European Union,executive branch
Q1441140,Olaya Herrera,Colombian municipality of the department of Nariño,municipality of Colombia
Q7787263,Thomas B. McCabe,"U.S. Federal Reserve chairman, businessman",human
Q138491,Jubba River,river,river
Q1140407,Stockholm International Peace Research Institute,Swedish research institute,research institute
Q540230,Carlos Lleras Restrepo,President of Colombia (1908-1994),human
Q805285,Balliol College,constituent college of the University of Oxford,college of the University of Oxford
Q1169487,University of Ibadan,"public university in Ibadan, Nigeria",public university
Q2161593,Roger Auboin,French economist (1891-1974),human
Q6973913,National Kidney Foundation,non-profit organization in the USA,nonprofit organization
Q1194052,Bretton Woods Conference,"international conference in Bretton Woods, New Hampshire, USA in July 1944",international conference
Q7387553,S. Jagannathan,Indian banker,human
Q216632,Mali Federation,former West African country consisting of the French colonies of Senegal and French Sudan,historical country
Q217099,Karakoram Highway,"international highway running through Pakistan, China",road
Q161718,United Nations Development Programme,global network for development of United Nations,international organization
Q2008672,Obafemi Awolowo University,public university in Nigeria,university
Q651233,Osaka University,"higher education institution in Osaka Prefecture, Japan",university
Q200054,Jamshedpur,"metropolis in Jharkhand, India",city
Q719596,Henry J. Kaiser,American industrialist,human
Q16012109,Peter I. B. Lavan,"Lawyer, philanthropist",human
Q718239,Mohamed Benhima,Moroccan Prime Minister (1924-1992),human
Q970695,Northern Trust,American financial services company,financial institution
Q533901,Diallo Telli,Guinean diplomat and politician (1925-1977),human
Q23430,Ulaanbaatar,capital of Mongolia,city
Q6085003,Ismaël Touré,Guinean politician,human
Q2054191,Chapman and Hall,publisher,book publisher
Q5708784,Ingemar Eliasson,Swedish politician,human
Q1256528,Black Volta,"river in Burkina Faso, Ivory Coast, and Ghana",river
Q20988931,Willard A. Hanna,American historian,human
Q20645580,Prem Shankar Jha,Indian journalist,human
Q5358777,Elektro-Slovenija,"company in Ljubljana, Slovenia",business
Q4167126,Robert Dorfman,American economist,human
Q386120,United Nations Industrial Development Organization,United Nations specialized agency,intergovernmental organization
Q4585294,Ragnar Christiansen,Norwegian politician,human
Q12217667,Sidi Salem,City in Egypt,human settlement
Q74110,Lawrence Spivak,American journalist and Meet the Press host (1900-1994),human
Q836469,Friedrich Ebert Foundation,German political foundation,think tank
Q160302,University of Edinburgh,"public university in Edinburgh, Scotland, United Kingdom",public university
Q89408,Gottfried Haberler,Austrian-American economist,human
Q19664415,Humphrey Slade,Kenyan member of parliament,human
Q163490,Sidon,"capital city of South Governorate, Lebanon",city
Q3534782,Sri Lanka Law College,"Legal institution in Colombo, Sri Lanka",law school
Q5445585,Fertilizer Corporation of India Limited,Indian government-owned corporation,business
Q4854968,Bang Rachan,historical village in Thailand,human settlement
Q864781,Ulla Ulla National Reserve,protected area,biosphere reserve
Q3369894,League of Women Voters,"non-profit, non-partisan advocacy group",advocacy group
Q3534319,Surjit Singh Barnala,"Indian politician, chief minister of Punjab from 1985 to 1987",human
Q6994376,Nepal Oil Corporation,,business
Q944507,Pendleton,"city in Oregon, USA",county seat
Q6539601,Union of Popular Forces,yemeni liberal political party,political party
Q659027,Ariel Dorfman,Chilean writer,human
Q3733,Conakry,capital of Guinea,city
Q1633955,Lerma River,river in Mexico,river
Q4806855,Asiatisk Plads,"street in Copenhagen Municipality, Denmark",street
Q21552640,Roger W. Heyns,"Educator; Chancellor of UC Berkeley, 1965-71",human
Q5960948,Mehdi Samii,"Iranian politician, economist and accountant",human
Q720430,Nanyang University,former university in Singapore,university
Q5462451,Floyd J. McCree,American politician,human
Q4526625,T. N. Srinivasan,Indian economist,human
Q982374,Raúl Prebisch,Argentine economist (1901-1986),human
Q861888,Oregon State University,"public research university in Corvallis, Oregon, United States",land-grant university
Q222738,National Autonomous University of Mexico,public research university in Mexico,university
Q28198,Jackson,"capital and largest city of Mississippi, United States",county seat
Q2897691,Bernard Chidzero,Zimbabwean politician (1927-2002),human
Q172512,Porto Velho,"the capital of the Brazilian state of Rondônia, in the upper Amazon River basin",capital city
Q5233607,David Fenton,American businessman,human
Q1058344,Simón Bolívar International Airport,International airport in Venezuela,international airport
Q326068,Frankfurter Rundschau,German daily newspaper,newspaper
Q6499202,Sears,American multinational department store chain,public company
Q1442894,F. Bradford Morse,American politician (1921-1994),human
Q71332719,Hezi Shai,"Israeli soldier, captive in the 1982 Lebanon War",human
Q6348410,Kaiser Aluminum,American metals manufacturer,public company
Q1479038,International Institute of Public Finance,organization,organization
