WikidataID,itemLabel,en_description,sitelinks
Q2516,Helmut Schmidt,"chancellor of West Germany (1974-1982), SPD",100
Q5348548,EgyptSyria relations,Bilateral relations between Syria and Egypt,8
Q2568152,GreeceTurkey relations,Bilateral relations between Greece and Turkey,16
Q3305540,LebanonSyria relations,Bilateral relations between Syria and Lebanon,8
Q5589315,Government of South Africa,,2
Q4763824,AngolaSoviet Union relations,diplomatic relations between the Republic of Angola and the Union of Soviet Socialist Republics,3
Q112014,Cabinet of the United Kingdom,collective decision-making body of the British government,25
Q1190574,Government of Japan,Constitutional monarchy which governs Japan,26
Q55645704,Government of Ecuador,executive body of the country,0
Q1154139,politics of Costa Rica,Political system of Costa Rica,10
Q2148,Government of the Soviet Union,main body of the executive branch of government in the Soviet Union,13
Q733,Paraguay,sovereign state in South America,283
Q783,Honduras,sovereign state in Central America,273
Q736,Ecuador,sovereign state in South America,285
Q1154099,politics of Panama,political system of Panama,9
Q15260617,Government of Greece,"Legislative, executive and judiciary powers of Greece",17
Q889,Afghanistan,"sovereign state situated at the confluence of Western, Central, and South Asia",328
Q1672817,Government of Ireland,cabinet that exercises executive authority in Ireland,17
Q16052369,Government of the Islamic Republic of Iran,"legislative, executive and judiciary powers of Iran",6
Q1154154,Politics of Cambodia,Political system of Cambodia,12
Q3250182,Government of Pakistan,"federal government of the Islamic Republic of Pakistan, established by the Constitution of Pakistan",12
Q43287,German Empire,empire in Central Europe between 1871 and 1918,107
Q2528718,Government of Romania,forms one half of the executive branch of the government of Romania,10
Q5589197,Government of Colombia,"republic with separation of powers into executive, judicial and legislative branches",5
Q1154846,politics of Liberia,political system of Liberia,11
Q3649429,Government of Peru,,3
Q422404,Government of Canada,federal government of Canada,22
Q3302931,Cabinet of Albania,,10
Q1227237,United KingdomUnited States relations,international diplomacy,22
Q429221,JapanSoviet Union relations,diplomatic relations between Japan and the Union of Soviet Socialist Republics,6
Q3622116,IndiaRussia relations,Refer to the bilateral relations between India and Russia,19
Q6277398,JordanRussia relations,Bilateral relations between Jordan and Russia,4
Q4398203,RussiaSomalia relations,Bilateral relations between Somalia and Russia,4
Q7855193,Soviet UnionTurkey relations,diplomatic relations between the Union of Soviet Socialist Republics and the Republic of Turkey,2
Q2032314,CubaUnited States relations,bilateral relations between Cuba and the United States,26
Q5651628,CubaSoviet Union relations,diplomatic relations between the Republic of Cuba and the Union of Soviet Socialist Republics,7
Q10876016,Sino-Soviet relations,relations between China and the USSR,7
Q3424079,AlgeriaMorocco relations,Bilateral relations between Algeria and Morocco,8
Q1936777,Tran Van Huong,Prime Minister of South Vietnam,12
Q475,Eduardo Frei Montalva,President of Chile (1911-1982),43
Q607505,IsraelUnited States relations,international relationship between Israel and the United States,22
Q313400,Lon Nol,Cambodian Field Marshal (1913-1985),42
Q424,Cambodia,sovereign state in Southeast Asia,294
Q59042,RussiaSyria relations,international relations,14
Q2345185,EgyptRussia relations,Bilateral relations between Russia and Egypt,8
Q75779,ChinaJapan relations,bilateral relations between China and Japan,21
Q6744755,MaltaUnited Kingdom relations,international diplomacy,3
Q332055,Omar Torrijos,Panamanian líder de la Revolución panameña(1929-1981),42
Q5100234,ChinaLaos relations,diplomatic relations between the People's Republic of China and the Lao People's Democratic Republic,10
Q3424136,ChinaFrance relations,diplomatic relations between the People's Republic of China and the French Republic,8
Q4025898,EgyptLibya relations,Bilateral relations between Libya and Egypt,6
Q83176,FranceRussia relations,Bilateral relations between Russia and France,13
Q6392929,KenyaUganda relations,bilateral relations between Kenya and Uganda,4
Q2421589,Government of Estonia,government of the country Estonia,19
Q277656,Government of Lithuania,,10
Q2502537,Government of Latvia,Executive authority in Latvia,11
Q367090,politics of Paraguay,political system of Paraguay,10
Q77,Uruguay,sovereign state in South America,288
Q16146706,Government of Haiti,,1
Q3424262,Soviet UnionUnited States relations,international diplomacy,14
Q907234,French protectorate in Morocco,1912-1956 protectorate in Northern Africa,38
Q1028,Morocco,sovereign state in North Africa,291
Q5015587,Government of the Czech Republic,institution exercising executive power in the Czech Republic,12
Q42620,Palestinian National Authority,"interim government in Western Asia, governing West Bank Areas A and B since 1994 and, until 2006, the Gaza Strip",85
Q6093912,ItalyYugoslavia relations,diplomatic relations between the Republic of Italy and Yugoslavia,5
Q36,Poland,country in Central Europe,364
Q62399316,Government of Saudi Arabia,officially the Government of Custodian of the Two Holy Mosques,0
Q695599,Austrian Federal Government,executive cabinet of the Republic of Austria,17
Q810,Jordan,sovereign state in western Asia,282
Q2052417,Paris Agreements,agreements signed after the London and Paris Conferences in 1954,15
Q1154838,politics of North Korea,socialist dictatorship based on self-reliance and independence ('Juche'),27
Q17427,Communist Party of China,founding and ruling political party of the People's Republic of China,97
Q6379559,System of Government of Israel,,5
Q2670092,Dominion of Ceylon,predecessor of the modern day country of Sri Lanka,21
Q2898854,IsraelJordan relations,Bilateral relations between Jordan and Israel,8
Q574821,EgyptIsrael relations,Bilateral relations between Israel and Egypt,12
Q483184,South KoreaUnited States relations,international relations,12
Q6585270,Royal Lao Government in Exile,,7
Q2280045,ChinaUnited States relation,International relations,29
Q2824547,presidency of Jimmy Carter,39th presidential administration and cabinet of the USA (1977-1981),10
Q3141882,state organisation of the Ottoman Empire,overview of the Ottoman Empire's governmental and societal structure,10
Q2991162,Australian Government,federal democratic administrative authority of Australia,16
Q33946,Czechoslovakia,sovereign state in Central Europe (1918-1992),147
Q83286,Socialist Federal Republic of Yugoslavia,federated socialist state in southeastern Europe (1945-1992),87
Q740205,Government of Portugal,,8
Q783684,Provisional Government of the French Republic,former country (1944-1946),40
Q11270,Fulgencio Batista,Cuban politician (1901-1973),79
Q1194749,Government of Spain,executive authority of Spain,23
Q5882050,Yugoslav government in exile,World War II government-in-exile claiming to be the legitimate government of Yugoslavia,12
Q822,Lebanon,sovereign state in Western Asia,298
Q7241106,presidency of Richard Nixon,37th presidential administration and cabinet of the USA (1969-1974),8
Q313424,Ian Douglas Smith,Prime Minister of Rhodesia (1919-2007),51
Q16331915,Ministerial Council of Greece,collective decision-making body of the Hellenic Republic,6
Q30917,Swiss Federal Council,seven-member executive council which constitutes the federal government of Switzerland and serves as the collective Swiss head of state,46
Q209065,Kingdom of Greece,kingdom in Southern Europe during the 19th and 20th century,55
Q3526359,Government of New Zealand,central government of New Zealand,11
Q107258515,Pahlavi Iran,Imperial state of Iran 19251979,13
Q750583,Southern Rhodesia,self-governing British colony from 1923 to 1980,43
Q674419,Provisional Government of National Unity,provisional government of Poland immediately after World War II,5
Q467864,People's Socialist Republic of Albania,Marxist-Leninist government of Albania (1946-1992),45
Q2366737,Finnish Government,executive body that directs the politics of Finland,17
Q7925797,government of the Philippines,national government of the unitary state of the Republic of the Philippines,8
Q182309,Cyrille Adoula,"Congolese Prime Minister, Ambassador (1921-1978)",17
Q722270,José Baptista Pinheiro de Azevedo,Portuguese politician (1917-1983),19
Q186500,Chang Myon,South Korean politician (1899-1966),65
Q223771,B?o ??i,Vietnamese emperor,51
Q2042,Charles de Gaulle,eighteenth President of the French Republic (1890-1970),195
Q151394,António de Oliveira Salazar,Prime Minister of Portugal (1889-1970),82
Q319216,Ibrahim Abboud,President of Sudan,30
Q2308761,Nationalist government,government of the Republic of China between 1927 to 1948,18
Q189,Iceland,"sovereign state in Northern Europe, situated on an island in the far North Atlantic Ocean",328
Q301804,Shigeru Yoshida,Prime minister of Japan (1878-1967),47
Q3753346,Dachen Islands,,7
Q104392,Mohamed Naguib,first President of Egypt (1901-1984),56
Q16410,People's Republic of Hungary,19491989 socialist republic in Central Europe,45
Q131077,Yukio Hatoyama,93rd Prime Minister of Japan,76
Q853348,Czechoslovak Socialist Republic,republic in Central/Eastern Europe between 1960 and 1990,44
Q5285386,Djuanda Cabinet,which served from 9 April 1957 until 5 July 1959,4
Q200850,János Kádár,Hungarian communist leader (1912-1989),58
Q365413,Félix Gaillard,Prime Minister of France (1919-1970),27
Q328504,Pierre Pflimlin,French politician (1907-2000),27
Q194291,Sirimavo Bandaranaike,Sri Lankan politician (1916-2000),68
Q3773943,Scelba Cabinet,10th Government of Italy,6
Q1240,Antonio Segni,4th President of Italy (1891-1972),56
Q2300705,Somsanith Vongkotrattana,Prime Minister of Laos,8
Q299732,Abd al-Karim Qasim,"Iraqi Army brigadier, nationalist and Prime Minister of Iraq from 1958 to 1963",40
Q5589317,Government of Singapore,Executive branch of government made up of the President and the Cabinet of Singapore,8
Q1770849,Government of Norway,"conducts, directs and supervises the policy of the Kingdom of Norway, both internally and externally",8
Q55,Netherlands,"country in western Europe, continental part of Kingdom of the Netherlands",344
Q916,Angola,sovereign state in Africa,297
Q227,Azerbaijan,country in the Caucasus in Eastern Europe,341
Q778,The Bahamas,island sovereign state in the West Indies,257
Q902,Bangladesh,sovereign state in South Asia,310
Q213510,Belgian Congo,former Belgian colony corresponding to the modern-day Democratic Republic of the Congo,57
Q918126,British Guiana,British posession in the Guianas region between 18141966,29
Q836,Myanmar,sovereign state in Southeast Asia,289
Q953,Zambia,sovereign state in Southern Africa,279
Q805,Yemen,sovereign state in western Asia,285
Q1036,Uganda,sovereign state in East Africa,278
Q152474,Rafael Trujillo,President of the Dominican Republic (1891-1961),57
Q1121819,Emirate of Transjordan,former country,38
Q858,Syria,sovereign state in western Asia,306
Q930729,Government of Sweden,highest authority in Sweden,18
Q1049,Sudan,sovereign state in northeast Africa,297
Q199841,South Yemen,19671990 country in western Asia,59
Q750583,Southern Rhodesia,self-governing British colony from 1923 to 1980,44
Q5440239,Federal Government of Somalia,The current government of Somalia,13
Q5589315,Government of South Africa,national government of South Africa,2
Q367342,Mario Scelba,Prime Minister of Italy (1901-1991),36
Q851,Saudi Arabia,sovereign state in western Asia,311
Q740205,Government of Portugal,body of sovereignty of the Portuguese Republic,9
Q93330,Juan Domingo Perón,former President of Argentina (1895-1974),83
Q733,Paraguay,sovereign state in South America,287
Q804,Panama,sovereign state in Central America,270
Q104392,Mohamed Naguib,first President of Egypt (1901-1984),58
Q177917,Imre Nagy,Hungarian politician (died 1958),70
Q5440529,Federal government of Mexico,national government of the United Mexican States,2
Q5589240,Government of Malaysia,federal government of Malaysia,12
Q5589242,Government of Malta,executive branch of Malta,6
Q11563876,Manchukuo National Railway,former railway in present-day China,5
Q30623,Manchukuo,former Japan puppet state in China,71
Q1014,Liberia,sovereign state in West Africa,261
Q822,Lebanon,sovereign state in Western Asia,300
Q618399,Republic of the Congo (Léopoldville),"former country (19601971) in Africa, predecessor of Zaire",20
Q819,Laos,country in Southeast Asia,282
Q315594,Fumimaro Konoe,Japanese politician (1891-1945),43
Q21022441,Government of Kenya,"National legislative, executive and judiciary powers of Kenya",1
Q206048,Joseph Kasa-Vubu,President of the Democratic Republic of the Congo (1910-1969),43
Q810,Jordan,sovereign state in western Asia,283
Q1190574,Government of Japan,Constitutional monarchy which governs Japan,27
Q958590,Japan International Cooperation Agency,governmental agency,20
Q796,Iraq,sovereign state in western Asia,318
Q185682,French Indochina,Federal state in Southeast Asia,70
Q299142,Hayato Ikeda,Prime Minister of Japan (1899-1965),40
Q1162751,Government of Hungary,government,11
Q2669297,Burhanuddin Harahap,Indonesian prime minister,11
Q131077,Yukio Hatoyama,93rd Prime Minister of Japan,77
Q29050,Mohammad Hatta,1st Vice President of Indonesia (1902-1980),38
Q274344,Édouard Herriot,French Radical politician (1872-1957),48
Q15164,Government of Hong Kong,principal executive body of Hong Kong Special Administrative Region,13
Q223,Greenland,autonomous country within the Kingdom of Denmark,231
Q317313,Petru Groza,Romanian politician (1884-1958),35
Q58833335,Juan Guaidó,Ex President of the National Assembly of Venezuela and partially recognized acting president,72
Q1006,Guinea,sovereign state in West Africa,267
Q159161,Cemal Gürsel,Turkish general and politician (1895-1966),63
Q182309,Cyrille Adoula,"Congolese Prime Minister, Ambassador (1921-1978)",18
Q222,Albania,country in southeastern Europe,326
Q269039,Hugo Banzer,Bolivian president (1926-2002),34
Q18434,Léon Blum,French politician (1872-1950),69
Q155398,Heinrich Brüning,German chancellor (1885-1970),47
Q967,Burundi,sovereign state in Africa,273
Q2916054,TurkeyUnited States relations,bilateral relations between United States and Turkey,12
Q7887457,United Arab EmiratesUnited States relations,bilateral relations between the United Arab Emirates and the United States,8
Q3424262,Soviet UnionUnited States relations,international diplomacy,15
Q7877702,UgandaUnited States relations,Bilateral relations between Uganda and United states,5
Q7314462,TaiwanUnited States relations,International relations,10
Q2425232,TunisiaUnited States relations,bilateral relations between United States and Tunisia,6
Q7424667,Saudi ArabiaUnited States relations,diplomatic relations between Saudi Arabia and the United States,12
Q7565921,South AfricaUnited States relations,Bilateral relations between The united states and South africa,7
Q7362683,RomaniaUnited States relations,Bilateral relations between United states and Romania,6
Q6316730,PakistanUnited States relations,bilateral relations between United States and Pakistan,10
Q6913195,MoroccoUnited States relations,Bilateral relations between United states and Morocco,8
Q6542957,LibyaUnited States relations,bilateral relations between United States and Libya,8
Q2467810,Latin AmericaUnited States relations,multilateral and interregional relationships,5
Q6277411,JordanUnited States relations,bilateral relations between Jordan and United States,8
Q6026384,IndonesiaUnited States relations,bilateral relations between United States and Indonesia,8
Q2745298,IranUnited States relations,informal diplomatic relationship between the United States and Iran,24
Q3424264,FranceUnited States relations,bilateral relations between United states and France,11
Q5555518,GhanaUnited States relations,bilateral relations between United States and Ghana,5
Q5614329,GuatemalaUnited States relations,bilateral relations between United States and Guatemala,7
Q5348550,EgyptUnited States relations,diplomatic relations between the Arab Republic of Egypt and the United States of America,7
Q4064179,EthiopiaUnited States relations,international diplomacy,9
Q651000,ColombiaUnited States relations,international relations,7
Q5201803,Czech RepublicUnited States relations,bilateral relations between Czech Republic and United States,7
Q5290816,Dominican RepublicUnited States relations,bilateral relations between United States and Dominican Republic,7
Q5098906,ChileUnited States relations,bilateral relations between United States and Chile,5
Q4996369,BulgariaUnited States relations,bilateral relations between United States and Bulgaria,6
Q2155131,BelgiumUnited States relations,bilateral relations between United States and Belgium,9
Q1732896,BrazilUnited States relations,bilateral relations between Brazil and United States,8
Q1227237,United KingdomUnited States relations,international diplomacy,23
Q2891047,ArgentinaUnited States relations,bilateral relations between Argentina and United States,7
Q4825336,AustraliaUnited States relations,bilateral relations between Australia and United States,10
Q4724123,AlgeriaUnited States relations,international diplomacy,6
Q61937,RussiaUnited Kingdom relations,international relations,11
Q7427118,Saudi ArabiaUnited Kingdom relations,international diplomacy,4
Q15948874,LibyaUnited Kingdom relations,international diplomacy,6
Q5552216,GermanyUnited Kingdom relations,international diplomacy,10
Q2044179,IranUnited Kingdom relations,international diplomacy,10
Q28282,FranceUnited Kingdom relations,relations between the governments of the French Republic and the United Kingdom of Great Britain and Northern Ireland,11
Q3424097,ArgentinaUnited Kingdom relations,international diplomacy,7
Q5029617,CanadaUnited Kingdom relations,Bilateral relations between United Kingdom and Canada,7
Q906604,ChinaUnited Kingdom relations,international diplomacy,7
Q7480405,IndiaUnited States relations,Bilateral relations between India and United states,19
Q349333,IndiaPakistan relations,Bilateral relations between India and Pakistan,19
Q346658,Arturo Frondizi,President of Argentina,40
Q16957,German Democratic Republic,"19491990 country in central Europe, unified into modern Germany",140
Q43287,German Empire,empire in Central Europe between 1871 and 1918,108
Q159603,W?adys?aw Gomu?ka,Polish politician (1905-1982),50
Q12208528,Government of Algeria,body exerting the executive power in Algeria,2
Q16574,Chiang Kai-shek,Chinese politician and military leader (1887-1975),126
Q24039188,Government of Denmark,central government of the Kingdom of Denmark,1
Q792,El Salvador,sovereign state in Central America,260
Q440,Salvador Allende,28th president of Chile (1908Ã¢ÂÂ1973),118
Q216943,Jacobo Árbenz,president of Guatemala in 1951Ã¢ÂÂ54,48
Q13116,Benelux,"politico-economic union between Belgium, the Netherlands and Luxembourg",110
Q18917,Army of the Republic of Vietnam,former ground forces of the South Vietnamese military,w
Q222,Albania,country in southeastern Europe,s
Q179248,Albanians,citizens or residents of Albania and ethnic group,w
Q222,Albania,country in southeastern Europe,w
Q12480578,Algerians,citizens or residents of Algeria,s
Q262,Algeria,sovereign country in North Africa,w
Q698099,Allied Control Council,military occupation governing body of the Allied Occupation Zones in Germany,w
Q916,Angola,sovereign state in Africa,s
Q414,Argentina,sovereign state in South America,w
Q2365041,Argentines,citizens or residents of Argentina,w
Q1318423,Australians,citizens or residents of Australia,w
Q408,Australia,country in Oceania,w
Q40,Austria,country in Central Europe,w
Q237534,Austrians,citizens and residents of Austria,w
Q36704,Yugoslavia,1918â1992 country in Southeastern and Central Europe,w
Q953,Zambia,sovereign state in Southern Africa,s
Q56036,West Berlin,political enclave that existed between 1949 and 1990,w
Q27496,Western Europe,region comprising the westerly countries of Europe,w
Q101094841,Western Europeans,inhabitants of Western Europe,s
Q4412,West Africa,westernmost region of the African continent,w
Q2996826,Venezuelans,citizens or residents of Venezuela,w
Q717,Venezuela,sovereign state in northern South America,w
Q77,Uruguay,sovereign state in South America,w
Q7901501,Uruguayans,citizens or residents of Uruguay,s
Q1227237,United KingdomâUnited States relations,international diplomacy,w
Q8798,Ukrainian,East Slavic language,w
Q212,Ukraine,sovereign state in Europe,w
Q948,Tunisia,sovereign state in Northern Africa,w
Q2459831,Tunisians,citizens or residents of Tunisia,w
Q707133,Taiwanese,citizens or residents of Taiwan,s
Q2024058,Taiwanese,Wikimedia disambiguation page,s
Q72778,Taiyuan,"capital city of Shanxi province, China",w
Q3976616,Sudanese,citizens or residents of Sudan,s
Q1049,Sudan,sovereign state in northeast Africa,w
Q15180,Soviet Union,federal socialist country in Eastern Europe and Northern Asia (1922â1991),w
Q953068,South-West Africa,"former country, a mandate of South Africa",w
Q884,South Korea,sovereign state in East Asia,w
Q61361124,South Koreans,citizens or residents of South Korea,s
Q18,South America,"continent, mainly on the Earth's southwestern quadrant",s
Q258,South Africa,sovereign state in Southern Africa,w
Q97704261,South Africans,citizens or residents of South Africa,s
Q5428,Siberia,territory in Russia east of Urals,s
Q18600381,Saudis,citizens or residents of Saudi Arabia,w
Q851,Saudi Arabia,sovereign state in western Asia,w
Q18600381,Saudis,citizens or residents of Saudi Arabia,s
Q851,Saudi Arabia,sovereign state in western Asia,s
Q11708,Southeast Asia,subregion of Asia,w
Q218,Romania,country in Central and Eastern Europe,w
Q218,Romania,country in Central and Eastern Europe,s
Q7913,Romanian,Romance language,w
Q101094595,Romanians,citizens or residents of Romania,s
Q809,Polish,West Slavic language spoken in Poland,w
Q36,Poland,country in Central Europe,w
Q105969841,Poles,citizens or residents of Poland,s
Q928,Philippines,sovereign state in Southeast Asia,w
Q419,Peru,sovereign state in South America,w
Q4359289,Peruvians,citizens or residents of Peru,w
Q4359289,Peruvians,citizens or residents of Peru,s
Q733,Paraguay,sovereign state in South America,w
Q10344552,Paraguayans,citizens or residents of Paraguay,s
Q804,Panama,sovereign state in Central America,s
Q20747504,Panamanians,citizens or residents of Panama,w
Q20747504,Panamanians,citizens or residents of Panama,s
Q843,Pakistan,sovereign state in South Asia,w
Q3310017,Pakistanis,citizens or residents of Pakistan,w
Q423,North Korea,sovereign state in East Asia,w
Q61356225,North Koreans,citizens or residents of North Korea,s
Q49,North America,continent on the Earth's northwestern quadrant,w
Q27381,North Africa,northernmost region of the African continent,w
Q1033,Nigeria,sovereign state in West Africa,w
Q16155102,Nigerians,citizens or residents of Nigeria,s
Q1033,Nigeria,sovereign state in West Africa,s
Q811,Nicaragua,sovereign state in Central America,w
Q1030,Namibia,sovereign state in southern Africa,s
Q47740,Muslim,adherents of the religion of Islam,w
Q47740,Muslim,adherents of the religion of Islam,s
Q1028,Morocco,sovereign state in North Africa,w
Q19883752,Moroccans,painting by Henri Matisse,s
Q1209676,Mexicans,citizens or residents of Mexico,w
Q96,Mexico,sovereign state in North America,w
Q485921,"Military Assistance Command, Vietnam",U.S. Military Command during the Vietnam War,w
Q1016,Libya,sovereign state in north Africa,s
Q1432897,Libyans,citizens or residents of Libya,s
Q1016,Libya,sovereign state in north Africa,w
Q1014,Liberia,sovereign state in West Africa,w
Q99735521,Liberians,citizens or residents of Liberia,s
Q822,Lebanon,sovereign state in Western Asia,s
Q2606511,Lebanese,people inhabiting or originating from Lebanon; citizens or residents of Lebanon,s
Q232595,Liberal Democratic Party,Japanese political party,w
Q6540624,Liberal Democratic Party,Australian political party,s
Q817,Kuwait,sovereign state in Western Asia,w
Q100448818,Kuwaitis,citizens or residents of Kuwait,s
Q60723796,Kenyans,citizens or residents of Kenya,s
Q114,Kenya,sovereign state in East Africa,w
Q478207,Kenitra,city in Morocco,w
Q766,Jamaica,island sovereign state in the Caribbean Sea,w
Q6127469,Jamaicans,citizens or residents of Jamaica,w
Q5287,Japanese,East Asian language,w
Q17,Japan,sovereign state in East Asia,w
Q801,Israel,sovereign state in the Middle East,s
Q875556,Israelis,citizens or permanent residents of the State of Israel,s
Q801,Israel,sovereign state in the Middle East,w
Q875556,Israelis,citizens or permanent residents of the State of Israel,w
Q4200853,Indonesians,citizens or residents of Indonesia,w
Q252,Indonesia,"sovereign state in Southeast Asia situated on more than 17,000 islands",w
Q189,Iceland,"sovereign state in Northern Europe, situated on an island in the far North Atlantic Ocean",s
Q294,Icelandic,North Germanic language mainly spoken in Iceland,w
Q133032,Hungarians,"a nation and ethnic group native to Hungary (Hungarian: MagyarorszÃ¡g) and historical Hungarian lands who share a common ancestry, culture, history and language",w
Q28,Hungary,country in Central Europe,w
Q9067,Hungarian,language spoken in and around Hungary,w
Q783,Honduras,sovereign state in Central America,w
Q790,Haiti,island sovereign state in the Caribbean Sea,w
Q4131845,Haitians,citizens or residents of Haiti,s
Q774,Guatemala,sovereign state in Central America,w
Q20826647,Guatemalans,citizens or residents of Guatemala,w
Q4172847,Filipino people,people native to or citizens of the islands of the Philippines,w
Q928,Philippines,sovereign state in Southeast Asia,s
Q42225,Far East,geographical idiom,w
Q29251,McDonnell Douglas F-15 Eagle,fighter aircraft family by McDonnell Douglas,w
Q308940,F-5,1959 fighter aircraft family by Northrop,w
Q1384697,Export-Import Bank of the United States,American public bank,w
Q115,Ethiopia,country in East Africa,w
Q2918061,Ethiopians,citizens or residents of Ethiopia,s
Q79,Egypt,sovereign state in North Africa and Asia,w
Q1061510,Egyptians,citizens or residents of Egypt,w
Q43296435,Ecuadorians,citizens or residents of Ecuador,w
Q736,Ecuador,sovereign state in South America,w
Q27468,Eastern Europe,eastern part of the European continent,w
Q94696335,Eastern Europeans,people from Eastern Europe,s
Q9035,Danish,North Germanic language spoken in Denmark,w
Q35,Denmark,country in northern Europe,w
Q164714,Danes,North Germanic ethnic group native to Denmark; citizens or residents of Denmark,w
Q33946,Czechoslovakia,sovereign state in Central Europe (1918-1992),w
Q1195125,Cubans,citizens or residents of Cuba,w
Q241,Cuba,sovereign state situated on an island in the Caribbean Sea,w
Q800,Costa Rica,country in Central America,w
Q5174946,Costa Ricans,citizens or residents of Costa Rica,w
Q8908,Council of Europe,International organisation founded in 1949,w
Q2997267,Colombians,citizens or residents of Colombia,w
Q739,Colombia,sovereign state in South America,w
Q5043,Christianity,monotheistic religion based on the belief that Jesus of Nazareth is the expected Messiah and the incarnation of God,w
Q1276073,Chileans,"ethnic group, citizens of Chile",w
Q298,Chile,sovereign state in South America,w
Q1196645,Canadians,citizens or residents of Canada,s
Q16,Canada,sovereign state in North America,s
Q424,Cambodia,sovereign state in Southeast Asia,w
Q100510227,Cambodians,citizens or residents of Cambodia,s
Q16,Canada,sovereign state in North America,w
Q1196645,Canadians,citizens or residents of Canada,w
Q836,Myanmar,sovereign state in Southeast Asia,s
Q9228,Burmese,language spoken in Myanmar,w
Q104371227,Burmese,citizens or residents of Burma (Myanmar),s
Q111654008,Bulgarians,"residents or citizens of Bulgaria, regardless of ethnicity",s
Q219,Bulgaria,sovereign state in southeastern Europe,w
Q219,Bulgaria,sovereign state in southeastern Europe,s
Q873625,Brazilians,citizens or residents of Brazil,s
Q155,Brazil,country in South America,s
Q155,Brazil,country in South America,w
Q4357542,Bolivians,citizens or residents of Bolivia,w
Q750,Bolivia,sovereign state in South America,w
Q31,Belgium,country in western Europe since 1830,w
Q1377716,Belgians,citizens or residents of Belgium,w
Q145,United Kingdom,country in Western Europe,w
Q842438,Britons,"citizens or residents of the United Kingdom of Great Britain and Northern Ireland, British Overseas Territories, Crown Dependencies, and their descendants",w
Q11288192,Wilbur John Carr,American diplomat and reformer,w
Q359560,Walt Whitman Rostow,American economist and political theorist (1916-2003),w
Q49216,Walter Mondale,42nd vice president of the United States,w
Q11237,Nelson Rockefeller,American politician (1908-1979),w
Q926510,Nguyen Ngoc Tho,"Vietnamese politician, first Prime Minister of South Vietnam (1908-1976)",w
Q9640,Lyndon B. Johnson,36th president of the United States from 1963 to 1969,w
Q8612,Andrew Johnson,"American politician, 17th president of the United States (in office from 1865 to 1869)",w
Q382192,Qiao Guanhua,Chinese diplomat (1913-1983),w
Q16977,Deng Xiaoping,"Chinese politician, paramount leader of China from 1978 until his retirement in 1989",w
Q1701184,"John N. Irwin, II",American diplomat,w
Q1376143,Nicholas Katzenbach,American lawyer (1922-2012),w
Q968874,Eugene V. Rostow,American legal scholar,w
Q1064692,Charles H. Percy,Businessman; U.S. senator (1919-2011),w
Q962660,Stuart Symington,American politician (1901-1988),w
Q174037,Henry Cabot Lodge,American statesman (1850â1924),w
Q450984,Henry Cabot Lodge Jr.,American politician (1902â1985),w
Q430518,John Hickenlooper,"American politician, businessman and the 42nd Governor of Colorado",w
Q722374,"Embassy of the United States, Moscow",embassy,13
Q894836,"Embassy of the United States, Paris",embassy,11
Q51,Antarctica,polar continent in the southern hemisphere,291
Q414,Argentina,sovereign state in South America,342
