,WikidataID,itemLabel,en_description,instanceof
225,Q28717129,Hazem Nuseibeh,Palestinian-Jordanian diplomat and politician,human
226,Q174159,Jacob Swoope,American politician (1770-1832),human
227,Q1871448,Louis A. Frothingham,American politician (1871-1928),human
228,Q1027517,Charles E. Phelps,Union Army general and politician (1833-1908),human
229,Q356728,Joseph Arthur Ankrah,Ghanaian politician (1915-1992),human
230,Q321179,Abijah Gilbert,American politician (1806-1881),human
231,Q705608,Kang Sok-ju,Vice Premier of North Korea (1939-2016),human
232,Q1680988,James Pike,American politician (1818-1895),human
233,Q379779,Práxedes Mateo Sagasta,Spanish politician (1825–1903),human
234,Q965009,Joseph W. Byrns,American politician (1869-1936),human
235,Q951798,Walter Lowrie,American politician (1784–1868),human
236,Q1662552,Mohammed Murad Ghaleb,Epytian politician and diplomat (1922-2007),human
237,Q851699,Beverly B. Douglas,American politician (1822-1878),human
238,Q4449726,Q4449726,,human
239,Q1421342,Jason B. Brown,American politician (1839-1898),human
240,Q8009046,William Findlay Rogers,American politician,human
241,Q976676,Jim Renacci,American politician,human
242,Q4889004,Benjamin Markley Boyer,American politician,human
243,Q1064324,Charles F. Ogden,American politician (1873-1933),human
244,Q59184021,Salah Abu Zaid,,human
245,Q463099,Andres Tarand,"Prime Minister of Estonia, geographer and climatologist",human
246,Q52835522,Jama Mohamed Ghalib,Somalian politician,human
247,Q1676390,J. Roy Rowland,American politician,human
248,Q5548906,Gerald B. H. Solomon,politician and United States Marine,human
249,Q851811,Beverly M. Vincent,American congressman for Kentucky (1890-1980),human
250,Q467021,Mozaffar ad-Din Shah Qajar,Shah of Persia (1853-1907),human
251,Q963898,Dan Rostenkowski,American politician,human
252,Q817671,Benjamin S. Turner,American politician (1825-1894),human
253,Q2527768,Virginia E. Jenckes,American politician,human
254,Q545567,Stephen Adams,"American politician, US Senator (1807-1857)",human
255,Q4286479,Luke Mwananshiku,Zambian politician,human
256,Q2757537,Gilbert Gude,American politician (1923-2007),human
257,Q574358,Mindon Min,King of Burma,human
258,Q356957,Julio César Turbay Ayala,President of Colombia (1916-2005),human
259,Q743995,E. W. Marland,American politician (1874-1941),human
260,Q2579863,William Marcellus Howard,"American politician, Georgia",human
261,Q574116,Anthony Wayne,Continental Army general (1745-1796),human
262,Q312046,Alexandros Papagos,Greek military leader and politician (1883-1955),human
263,Q1234807,Guy T. Helvering,United States federal judge (1878-1946),human
264,Q1157856,Dale Milford,U.S. Representative from Texas (1926-1997),human
265,Q1390594,Johannes Brand,South African politician (1823-1888),human
266,Q705791,Walthère Frère-Orban,Belgian politician (1812-1896),human
267,Q174438,Madeleine Albright,American politician (1937-2022),human
268,Q707648,Mark Chen,Taiwanese politician,human
269,Q1462348,Thomas U. Sisson,American politician (1869-1923),human
270,Q1680141,James Carson Gardner,American politician,human
271,Q1767673,Lemuel J. Bowden,American politician (1815-1864),human
272,Q885374,John W. Bricker,American politician (1893-1986),human
273,Q1428172,Fletcher Thompson,American politician,human
274,Q723134,Jim Inhofe,United States Senator from Oklahoma,human
275,Q2518653,Benito Nardone,President of Uruguay,human
276,Q1680217,James Craig,American lawyer and politician from Missouri (1818-1888),human
277,Q8440,Hugo Chávez,"President of Venezuela, 1999–2002 and 2002–2013",human
278,Q5582074,Satcam Boolell,politician,human
279,Q7106091,Oscar Lawrence Jackson,U.S. Congressman and Union Army officer (1840-1920),human
280,Q5382327,Ephraim R. Eckley,Union Army officer and Congressman,human
281,Q2149883,Richard Jackson,U.S. Representative from Rhode Island,human
282,Q2041811,Ousman Jammeh,Gambian politician,human
283,Q436825,Betty Sutton,American politician,human
284,Q304271,Clement Comer Clay,American politician (1789-1866),human
285,Q6217762,John A. Key,American politician (1871-1954),human
286,Q947060,J. Will Taylor,American politician (1880-1939),human
287,Q706172,Duan Qirui,Chinese warlord and politician (1865-1936),human
288,Q2361219,Francisco García Calderón,President of Peru,human
289,Q820,Juan Antonio Rios,Chilean politician and President (1888-1946),human
290,Q1176801,David T. Disney,American politician (1803-1857),human
291,Q379725,Pascal Lissouba,First President of the Republic of the Congo,human
292,Q533073,Kendrick Meek,American politician,human
293,Q250087,Bill Hayden,former Governor-General of Australia,human
294,Q18628956,Marcos Falcón Briceño,Venezuelan diplomat and politician,human
295,Q1927594,Michael Griffin,American politician (1842-1899),human
296,Q1680738,James M. Gregg,American politician (1806-1869),human
297,Q22368,Chen Shui-bian,President of Taiwan from 2000 to 2008,human
298,Q57298,Abdullah of Saudi Arabia,former King of Saudi Arabia (1924-2015),human
299,Q169841,Nazim al-Kudsi,Syrian politician and President (1906–1998),human
300,Q1680937,James P. Geelan,American politician (1901-1982),human
301,Q310000,Ludvík Svoboda,Czechoslovak general and politician (1895-1979),human
302,Q128633,William Lyon Mackenzie King,10th Prime Minister of Canada (1874–1950),human
303,Q3493305,Luis Castiglioni,Paraguayan politician,human
304,Q3527314,Therence Sinunguruza,Burundi politician,human
305,Q6227150,John Cornelius Butler,American politician,human
306,Q2424969,Thomas Joseph Lane,American politician from Massachusetts,human
307,Q1700003,John F. Andrew,American politician (1850-1895),human
308,Q1607257,Henry Shaw,American politician (1788-1857),human
309,Q16140152,Q16140152,Thai politician,human
310,Q560641,Ji Pengfei,Chinese politician (1910-2000),human
311,Q313240,Modibo Keïta,Malian politician and President of Mali (1915-1977),human
312,Q2272121,John Savage,American politician and lawyer (1779-1863),human
313,Q371315,Thomas S. Kleppe,American politician (1919-2007),human
314,Q173417,Joseph Pulitzer,Hungarian-American newspaper publisher and politician (1847-1911),human
315,Q506774,Andrew Price,American politician (1854-1909),human
316,Q3467356,William Eteki Mboumoua,Cameroonian politician,human
317,Q469036,Dingiri Banda Wijetunga,President of Sri Lanka from 1993 to 1994,human
318,Q4254477,Fernando Lara Bustamante,Costa Rican politician and lawyer,human
319,Q974157,James M. Mead,American politician,human
320,Q1561693,Firoz Khan Nun,Pakistani politician,human
321,Q313829,Milan I Obrenović,king of Serbia,human
322,Q2114867,William Fiero Russell,American politician,human
323,Q1774776,Miguel Ángel Castillo,Salvadoran politician,human
324,Q286243,Monrad Wallgren,American politician (1891-1961),human
325,Q735259,Augustus Owsley Stanley,American state and federal politician (1867-1958),human
326,Q299352,Lene Espersen,Danish politician,human
327,Q1700220,John Gilfillan,American politician (1835-1924),human
328,Q1557735,Guðlaugur Þór Þórðarson,Icelandic politician,human
329,Q2271969,Zebulon R. Shipherd,American politician,human
330,Q211810,James Humphrey,American politician (1811-1866),human
331,Q1680144,James Castle,American politician (1836-1903),human
332,Q365808,Henry S. Foote,American politician (1804-1880),human
333,Q1606905,Henry J. B. Cummings,Union United States Army officer (1831-1909),human
334,Q240244,James M. Richardson,American politician (1858-1925),human
335,Q2602,Egon Krenz,"German politician, communist leader of East Germany",human
336,Q501915,Joel Frost,American politician (1765-1827),human
337,Q2607,Erich Honecker,"former leader of East Germany, General Secretary of the Socialist Unity Party",human
338,Q339081,Wunna Maung Lwin,member of Myanmar SAC,human
339,Q1367486,Lemuel W. Royse,American politician (1847-1946),human
340,Q1063494,Charles A. Stevens,American politician (1816-1892),human
341,Q250297,John Joseph Kindred,American politician (1864-1937),human
342,Q1934657,Miles Poindexter,American politician,human
343,Q365866,John McLean,Illinois politician (1791-1830),human
344,Q1095314,Clare Magee,American politician (1899-1969),human
345,Q56160911,Murtadha Saeed,70th Iraqi Minister of Foreign Affairs,human
346,Q1548061,Joseph R. Grundy,American politician (1863-1961),human
347,Q1543193,Stuart F. Reed,American politician (1866-1935),human
348,Q314022,Óscar Carmona,11th Portuguese president (1926-1951),human
349,Q709639,Arthur H. Taylor,American politician (1852-1922),human
350,Q1634992,Hugo Egmont Hørring,Danish politician (1842-1909),human
351,Q2527666,Virgil D. Parris,American politician,human
352,Q1687849,Jerry M. Patterson,American politician,human
353,Q314105,Damdin Sükhbaatar,Mongolian military leader (1893-1923),human
354,Q1700425,John Henry Hubbard,American politician (1804-1872),human
355,Q2277934,Shelley Sekula-Gibbs,American politician,human
356,Q524510,Karan English,American politician,human
357,Q8011964,William Henry Draper,American politician,human
358,Q553335,Christopher Cox,American lawyer and politician,human
359,Q78864,Lujo Tončić-Sorinj,"Austrian diplomat, politician, foreign minister (1915-2005)",human
360,Q366104,Adone Zoli,Italian politician (1887-1960),human
361,Q1589909,David J. O'Connell,American politician (1868-1930),human
362,Q12219666,Salih Mahdi Ammash,"Iraqi historian, writer, author, poet and politician (1924–1985)",human
363,Q381670,Chuck Hagel,American military veteran and former politician,human
364,Q436320,Charles Creighton Stratton,American politician,human
365,Q5696807,Víctor Andrade Uzquiano,"Bolivian diplomat, writer and lawyer (1905-1990)",human
366,Q250499,Denis M. Hurley,Irish-born American congressman for New York (1843-1899),human
367,Q1103456,Warren I. Lee,American politician,human
368,Q1543181,Grant M. Hudson,American politician (1868-1955),human
369,Q186931,Frank Vandenbroucke,Belgian politician,human
370,Q2595692,Wynne F. Clouse,American politician (1883-1944),human
371,Q1882459,Mac Collins,American politician (1944–2018),human
372,Q2115292,John F. Collin,American politician (1802-1889),human
373,Q1607198,Henry R. Pease,"Union Army officer, lawyer and businessman (1835-1907)",human
374,Q1700869,"John Lloyd Dorsey, Jr.",American politician (1891-1960),human
375,Q469478,Franco Maria Malfatti,Italian politician (1927–1991),human
376,Q1160165,Daniel Breck,American politician (1788-1871),human
377,Q7965020,Walter H. Albaugh,U.S. Representative (1890-1942),human
378,Q1700666,Cheron K. Griffin,American politician (1789-1841),human
379,Q1700615,John Jarman,Son of John Henry Jarman I and Gran. (1915-1982),human
380,Q1874069,Ludvig Holstein-Ledreborg,Danish politician (1839-1912),human
381,Q2439736,Thomas Jefferson Murray,American politician,human
382,Q1589895,Stephen A. Rudd,American politician (1874-1936),human
383,Q1160247,Daniel C. Verplanck,American politician (1762-1834),human
384,Q978208,Didier Reynders,Belgian politician,human
385,Q1607334,Henry U. Johnson,"American politician, Indiana (1850-1939)",human
386,Q250688,Daniel Jenifer,American politician 1791-1855,human
387,Q1699069,John A. McGuire,American politician (1906-1976),human
388,Q6536676,Lewis Henry,American politician,human
389,Q302153,Thurman C. Crook,American politician (1891–1981),human
390,Q1657385,James Love,American politician (1795-1874),human
391,Q1237268,Harry B. Hawes,American politician (1869-1947),human
392,Q1607382,Henry Warren Ogden,Confederate States of America Army officer and American politician (1842-1905),human
393,Q5444930,Fernando Solana,"Mexican diplomat, politician and businessman (1931-2016)",human
394,Q366307,Fan S. Noli,Albanian politician (1882-1965),human
395,Q60082807,João Ribeiro Butiam Có,politician from Guinea-Bissau,human
396,Q816585,Ben Reifel,Lakota-American politician (1906-1990),human
397,Q56000989,Abdullah Bakr,Iraqi politician,human
398,Q1501277,Nicholas Mavroules,American politician (1929-2003),human
399,Q305669,Bonfoh Abass,Togolese politician,human
400,Q2578721,William F. Englebright,American politician (1855-1915),human
401,Q156774,Pedro II of Brazil,2nd and final Emperor of Brazil (r. 1831–89),human
402,Q2578742,William F. Love,American politician (1850-1898),human
403,Q1650242,William Henry Hill,American politician (1767-1809),human
404,Q2658986,John Chapman,American politician from Pennsylvania,human
405,Q436527,Robert C. Nicholas,American politician,human
406,Q1396155,Sven Alkalaj,Bosnian diplomat,human
407,Q58229,William Haomae,Solomon Island politician,human
408,Q4054523,Abdul Qadir al-Allam,Libyan politician,human
409,Q1277199,George R. Robbins,American politician (1808-1875),human
410,Q599988,Roch Marc Christian Kaboré,former President of Burkina Faso ousted in a coup d'état on 23 Jan 2022,human
411,Q5019274,Caleb Newbold Taylor,American politician,human
412,Q1253479,Samuel Brenton,American politician (1810-1857),human
413,Q1669201,William Parker Caldwell,American politician (1832-1903),human
414,Q5294581,Donald J. Pease,American politician (1931-2002),human
415,Q1700922,John M. Morehead,American politician (1866-1923),human
416,Q1700935,John M. Zwach,Minnesota politician (1907-1990),human
417,Q6175453,Jefferson Davis Brodhead,American politician (1859-1920),human
418,Q34453,Boris Yeltsin,"Soviet and Russian politician, 1st President of Russia (1931-2007)",human
419,Q128956,Harold Wilson,"Prime Minister of the United Kingdom (1964–1970, 1974–1976)",human
420,Q5545441,George Van Eman Lawrence,American politician (1818-1904),human
421,Q1700970,"John M. Robsion, Jr.",American politician (1904-1990),human
422,Q382112,Henry H. Chambers,American politician (1790-1826),human
423,Q56000984,Musa al-Shahbander,Iraqi politician,human
424,Q2425951,Thomas M. Browne,U.S. Representative from Indiana (1829-1891),human
425,Q1315266,Endre Sík,Hungarian historian and politician (1891-1978),human
426,Q58754391,Katie Porter,U.S. Representative from California,human
427,Q2641439,Alex McMillan,American politician,human
428,Q576697,Philip S. Crooke,American politician (1810-1881),human
429,Q708612,Hussein Maziq,former Prime Minister of Libya (1918-2006),human
430,Q785589,Paris Gibson,American politician (1830-1920),human
431,Q376073,Tito Okello,President of Uganda (1914-1996),human
432,Q6537082,Lewis Steward,American politician (1824-1896),human
433,Q366546,Joseph I. France,American politician (1873-1939),human
434,Q469875,Muhammad Ali Bogra,Pakistani diplomat (1909-1963),human
435,Q7403481,Salahuddin Rabbani,Afghan diplomat,human
436,Q1701058,John Mellen Thurston,American politician (1847-1916),human
437,Q2509312,Husayn al-Khalidi,Palestinian Jordanian politician,human
438,Q4679346,Adam King,American politician from Pennsylvania,human
439,Q866951,Eugene Chien,Taiwanese politician,human
440,Q2576613,Willard Hall,American politician (1780-1875),human
441,Q2278603,Richard P. Herrick,American politician,human
442,Q492024,Hilarión Daza,President of Bolivia (1840-1894),human
443,Q382192,Qiao Guanhua,Chinese diplomat (1913-1983),human
444,Q1701111,John Milton Glover,American politician (1852-1929),human
445,Q287187,John Nevett Steele,American politician (1796-1853),human
446,Q2579042,William H. Crain,American politician (1848-1896),human
447,Q1701106,John Millson,American politician (1808-1874),human
448,Q7807538,Timothy Sullivan,American politician from New York,human
449,Q1027380,Solon Borland,American politician (1808-1864),human
450,Q880795,Charles Goldsborough,American politician (1765-1834),human
451,Q1489280,"Gabriel H. Mahon, Jr.",Recipient of the Purple Heart medal (1889-1962),human
452,Q5806411,William Hindman,American politician (1743-1822),human
453,Q126644,Solomon P. Sharp,American politician (1787–1825),human
454,Q2217932,Samuel Arnold,American congressman for Connecticut (1806-1869),human
